Gene_ID	Gene_Name	CV_R2	kernel	degree	C	time.s.
ENSG00000169442	CD52	0.712973641258214	poly	3	0.5	1585.7083158493
ENSG00000116791	CRYZ	0.745757043848318	linear	2	0.005	2281.04606103897
ENSG00000184292	TACSTD2	0.840411406737316	rbf	2	1	1824.70306348801
ENSG00000116874	WARS2	0.793419282975073	poly	2	2	1705.81542038918
ENSG00000198715	C1orf85	0.82003987919838	poly	2	1	1640.24669361115
ENSG00000138439	FAM117B	0.713969087115086	linear	2	0.001	1469.78498291969
ENSG00000168958	MFF	0.726832631845154	linear	2	0.001	1944.80846500397
ENSG00000188846	RPL14	0.742180440146232	rbf	2	1.5	2001.87588691711
ENSG00000180767	CHST13	0.714829092055355	linear	2	0.001	2046.37958526611
ENSG00000163584	RPL22L1	0.756982770898575	linear	2	0.005	1773.27724409103
ENSG00000170153	RNF150	0.806897274735607	linear	2	0.001	1609.47890973091
ENSG00000164308	ERAP2	0.804151998486682	poly	2	1	2034.20133423805
ENSG00000198502	HLA-DRB5	0.837426730569992	poly	2	1	3895.15112829208
ENSG00000196126	HLA-DRB1	0.831178723213905	poly	2	1	4094.95435118675
ENSG00000204525	HLA-C	0.733053211027038	rbf	2	2	5210.39728569984
ENSG00000179344	HLA-DQB1	0.715000785666817	rbf	2	2	4308.77028107643
ENSG00000188372	ZP3	0.708654860408444	rbf	2	2	1569.38456821442
ENSG00000002933	TMEM176A	0.703412681028706	poly	2	1.5	1667.00346779823
ENSG00000164978	NUDT2	0.793394694406709	linear	2	0.001	2019.23824262619
ENSG00000165983	PTER	0.703271134092195	linear	2	0.005	1992.87896823883
ENSG00000173915	USMG5	0.825926803870503	poly	2	1.5	1599.34214472771
ENSG00000120008	WDR11	0.709831241392217	poly	6	0.1	1757.52329277992
ENSG00000184293	CLECL1	0.707278466162214	poly	2	1	1694.96225214005
ENSG00000172322	CLEC12A	0.739474505781365	linear	2	5e-04	1843.5685043335
ENSG00000133704	IPO8	0.799376959067092	poly	2	0.5	2324.60941243172
ENSG00000166896	XRCC6BP1	0.802712779287681	poly	2	1.5	1817.99944996834
ENSG00000197728	RPS26	0.745108011191708	linear	2	0.001	2058.74060130119
ENSG00000110906	KCTD10	0.776484346816022	rbf	2	1.5	1373.26342988014
ENSG00000258289	CHURC1	0.844753796805364	rbf	2	1	1605.47214913368
ENSG00000214941	ZSWIM7	0.765532465311229	rbf	2	1.5	1579.98067307472
ENSG00000141698	NT5C3B	0.706072156087601	poly	2	1	2239.47638559341
ENSG00000108384	RAD51C	0.77696172715063	rbf	2	0.5	1798.70148015022
ENSG00000088930	XRN2	0.766248214293143	rbf	2	1.5	1685.90925264359
ENSG00000182362	YBEY	0.70972132276887	poly	2	1	1972.81877684593
