Gene_ID	Gene_Name	CV_R2	n_estimators	time.s.
ENSG00000116791	CRYZ	0.838232510388484	250	3449.43018937111
ENSG00000184292	TACSTD2	0.923675372197197	200	4390.63153862953
ENSG00000116874	WARS2	0.769058994483041	50	3829.55835175514
ENSG00000134215	VAV3	0.745196775513756	350	4277.65485978127
ENSG00000198890	PRMT6	0.727503493205185	400	3938.68090677261
ENSG00000198715	C1orf85	0.728830229927245	300	2899.8191075325
ENSG00000168958	MFF	0.840802776583624	500	4501.42578125
ENSG00000188846	RPL14	0.755075079533413	500	3397.64741802216
ENSG00000180767	CHST13	0.756320682561434	500	5523.19342398643
ENSG00000163584	RPL22L1	0.805122579350467	400	4000.77451896667
ENSG00000155542	SETD9	0.775487076811491	500	4150.65062403679
ENSG00000164308	ERAP2	0.824917562806842	50	4477.24495816231
ENSG00000145730	PAM	0.774618765041044	350	4060.0719640255
ENSG00000196126	HLA-DRB1	0.882373594580539	200	9758.10926270485
ENSG00000179344	HLA-DQB1	0.746731547541611	250	8675.11648344994
ENSG00000198502	HLA-DRB5	0.84623629966995	500	10993.2335243225
ENSG00000204525	HLA-C	0.815405186989433	250	9507.64250516891
ENSG00000004809	SLC22A16	0.798644980699135	500	3726.40183782578
ENSG00000106565	TMEM176B	0.766848676777509	100	4125.56204795837
ENSG00000002933	TMEM176A	0.768968933021714	500	4000.01287007332
ENSG00000164978	NUDT2	0.798427941873931	50	3432.39728617668
ENSG00000165983	PTER	0.772991319754173	50	5720.45898342133
ENSG00000107796	ACTA2	0.789073827725717	400	3786.63243246078
ENSG00000173915	USMG5	0.855264341459432	450	3088.1858496666
ENSG00000120008	WDR11	0.72707490321992	300	4619.34488964081
ENSG00000110852	CLEC2B	0.735095670378219	50	5033.26981830597
ENSG00000172322	CLEC12A	0.733535942979606	500	5071.3361260891
ENSG00000184293	CLECL1	0.786598792001271	500	5564.50720381737
ENSG00000133704	IPO8	0.734477388183351	400	6070.45572376251
ENSG00000197728	RPS26	0.750389534756003	500	3080.5310895443
ENSG00000110906	KCTD10	0.734212141911978	150	3593.82107377052
ENSG00000258289	CHURC1	0.898774023068364	500	4175.64890480042
ENSG00000103489	XYLT1	0.750309703868104	250	3378.01432538033
ENSG00000087253	LPCAT2	0.737423039917326	400	4697.95611691475
ENSG00000214941	ZSWIM7	0.83167899737493	400	4472.84497833252
ENSG00000173801	JUP	0.73061242799244	300	4268.65475082397
ENSG00000108946	PRKAR1A	0.800458733043424	50	4501.86046147346
ENSG00000108384	RAD51C	0.774783692536833	500	2799.01955103874
ENSG00000088930	XRN2	0.736103584619748	100	3257.20397043228
ENSG00000100079	LGALS2	0.733898507373689	50	4172.95953822136
