Gene_ID	Gene_Name	CV_R2	kernel	degree	C	time.s.
ENSG00000116791	CRYZ	0.725707032554691	poly	2	2	579.217644929886
ENSG00000184292	TACSTD2	0.826552735133009	linear	2	0.001	607.245043039322
ENSG00000164308	ERAP2	0.762074044098533	poly	3	1	863.347208499908
ENSG00000196126	HLA-DRB1	0.794295026641907	poly	2	1	1882.48474097252
ENSG00000198502	HLA-DRB5	0.787995567332674	poly	2	2	1400.32096195221
ENSG00000204525	HLA-C	0.768984469299457	poly	3	1	1772.48454165459
ENSG00000164978	NUDT2	0.76042728892579	poly	2	1.5	687.50802230835
ENSG00000173915	USMG5	0.757629838388299	rbf	2	2	608.056436300278
ENSG00000258289	CHURC1	0.850042703755477	linear	2	5e-04	685.101752519608
ENSG00000214941	ZSWIM7	0.7468224361674	rbf	2	1.5	805.125356674194
ENSG00000108384	RAD51C	0.74488032868629	rbf	2	1	510.672116994858
