Gene_ID	Gene_Name	CV_R2	n_neigbors	weights	p	time.s.
ENSG00000198492.10	YTHDF2	-0.0906694980758899	31	uniform	3	441.724352836609
ENSG00000173369.11	C1QB	-0.0180893706667924	19	uniform	1	665.12752699852
ENSG00000171608.11	PIK3CD	0.00509788684103403	23	distance	3	446.131115913391
ENSG00000169991.6	IFFO2	0.01374808105901	21	uniform	1	548.382473468781
ENSG00000177674.11	AGTRAP	-0.0205955046704248	31	uniform	1	458.578856468201
ENSG00000197785.9	ATAD3A	-0.0874344549894431	31	uniform	3	106.10113120079
ENSG00000159363.13	ATP13A2	-0.00868789584701253	13	distance	2	590.252751111984
ENSG00000060642.6	PIGV	-0.0489836318961821	25	uniform	2	392.745596170425
ENSG00000117676.9	RPS6KA1	-0.0627124933987431	29	distance	1	466.165524959564
ENSG00000049247.9	UTS2	0.0761661638029403	19	distance	3	825.132200241089
ENSG00000116688.12	MFN2	0.105138622443753	9	distance	2	447.382611751556
ENSG00000131697.13	NPHP4	0.00993575586811022	29	uniform	1	654.558600664139
ENSG00000189266.7	PNRC2	-0.033311855061283	29	distance	1	540.928439855576
ENSG00000116273.5	PHF13	-0.000121700256272117	29	uniform	3	735.772958040237
ENSG00000049239.8	H6PD	-0.00567401491438253	27	distance	3	539.846906423569
ENSG00000000938.8	FGR	-0.0332838620525713	29	uniform	1	338.157153844833
ENSG00000020633.14	RUNX3	-0.0184554523437167	29	uniform	3	541.827216386795
ENSG00000176022.3	B3GALT6	0.0535388866152101	29	uniform	3	69.9688513278961
ENSG00000060688.8	SNRNP40	0.142052771731214	7	distance	1	713.930434465408
ENSG00000069424.10	KCNAB2	-0.0568185967682876	23	uniform	2	648.776209354401
ENSG00000120942.9	UBIAD1	-0.0697064055226223	31	uniform	3	483.544671535492
ENSG00000001461.12	NIPAL3	-0.00673213435356035	25	uniform	2	500.539737939835
ENSG00000054523.12	KIF1B	0.0699922222404713	27	uniform	3	332.925001859665
ENSG00000116237.11	ICMT	0.0101510205758208	7	distance	1	588.837362527847
ENSG00000160049.7	DFFA	-0.0346302548965693	29	uniform	2	379.578479290009
ENSG00000126698.6	DNAJC8	0.0998629903819392	13	distance	1	435.400998592377
ENSG00000125944.14	HNRNPR	-0.0452278399150906	29	distance	3	407.578747749329
ENSG00000175756.9	AURKAIP1	-0.0473392070668341	29	distance	3	80.4448945522308
ENSG00000121766.10	ZCCHC17	-0.00844022004305174	31	uniform	2	485.802792549133
ENSG00000183726.6	TMEM50A	0.0334907930515415	29	uniform	3	592.431270599365
ENSG00000158195.6	WASF2	-0.0142350973803339	31	uniform	1	377.864398956299
ENSG00000159423.12	ALDH4A1	0.00911727262023048	27	distance	2	698.959227800369
ENSG00000117616.13	C1orf63	-0.0549053418329475	31	uniform	1	616.868789196014
ENSG00000162482.4	AKR7A3	0.0873456092612729	13	distance	1	636.380632162094
ENSG00000187980.6	PLA2G2C	-0.0647848464797909	15	uniform	3	680.025174856186
ENSG00000157873.13	TNFRSF14	0.00542195164339778	27	distance	1	259.019015550613
ENSG00000117713.13	ARID1A	-0.0349929293150448	15	uniform	1	372.980498790741
ENSG00000117614.5	SYF2	0.00649264859200243	19	uniform	2	595.381786584854
ENSG00000204160.6	ZDHHC18	-0.0744275487624483	31	distance	1	316.031108856201
ENSG00000162430.12	SEPN1	-0.0744956027316576	27	uniform	3	499.687439680099
ENSG00000083444.12	PLOD1	0.0544258363105957	29	distance	1	453.421223163605
ENSG00000187583.5	PLEKHN1	-0.0343345277971583	29	distance	1	37.1492028236389
ENSG00000215695.1	RSC1A1	-0.0536411727819447	31	uniform	1	593.497410058975
ENSG00000221978.7	CCNL2	-0.0874180706786858	27	uniform	3	87.5822641849518
ENSG00000159023.14	EPB41	-0.0348046909850147	19	uniform	2	473.885692358017
ENSG00000142751.10	GPN2	-0.00412531134005023	17	uniform	2	451.522040367126
ENSG00000117298.10	ECE1	-0.0125516055821054	13	uniform	3	503.94559264183
ENSG00000130770.13	ATPIF1	0.13023550278962	29	uniform	3	411.669699668884
ENSG00000162413.12	KLHL21	-0.0971035667302916	31	uniform	3	572.877118825912
ENSG00000077549.13	CAPZB	-0.0564290076705696	31	distance	1	669.251559257507
ENSG00000142655.8	PEX14	0.0307123569841309	27	uniform	2	481.586758136749
ENSG00000130695.9	CEP85	-0.0400404741563956	31	uniform	1	432.838935613632
ENSG00000158161.11	EYA3	-0.0265911277297357	25	uniform	2	403.135209321976
ENSG00000179163.11	FUCA1	0.144978533518344	13	distance	2	557.390236139297
ENSG00000184677.12	ZBTB40	-0.0358937692775641	31	distance	1	832.95757484436
ENSG00000197530.8	MIB2	-0.0505263245936886	11	distance	1	136.11570930481
ENSG00000117308.10	GALE	0.0410346649547275	11	uniform	1	548.85858130455
ENSG00000204510.1	PRAMEF7	-0.068380334027829	27	uniform	2	231.005710601807
ENSG00000162585.12	C1orf86	-0.0363728968695305	29	uniform	3	324.272404432297
ENSG00000049246.10	PER3	-0.0222720649638589	15	uniform	2	679.249535322189
ENSG00000173614.9	NMNAT1	0.0294918600635575	21	uniform	1	468.429843187332
ENSG00000067606.11	PRKCZ	-0.0520997174612837	31	uniform	1	242.335278987885
ENSG00000157191.15	NECAP2	0.0603705608984971	21	distance	1	477.981584310532
ENSG00000116809.7	ZBTB17	-0.0370999346660434	31	distance	2	705.010801553726
ENSG00000053372.4	MRTO4	-0.00788150891767476	31	uniform	1	628.222541093826
ENSG00000090686.11	USP48	-0.0155905100454458	27	uniform	1	707.076509475708
ENSG00000120948.11	TARDBP	-0.0230398739487234	31	uniform	2	549.328919410706
ENSG00000008130.11	NADK	-0.0428471887681846	29	uniform	3	128.418311357498
ENSG00000142794.14	NBPF3	-0.00538834619038306	31	uniform	3	896.419728040695
ENSG00000142599.13	RERE	-0.00817955605498699	29	distance	1	733.523798465729
ENSG00000116288.8	PARK7	0.131602794283441	9	distance	1	625.49933552742
ENSG00000117758.9	STX12	-0.0167175014996187	31	uniform	2	327.442905902863
ENSG00000171729.9	TMEM51	0.229778447951265	9	distance	1	724.108381509781
ENSG00000037637.6	FBXO42	-0.114899429943223	31	uniform	1	551.785035133362
ENSG00000048707.9	VPS13D	-0.030807943857871	27	distance	1	518.24378490448
ENSG00000007923.11	DNAJC11	-0.0790496130243888	15	uniform	3	553.966666936874
ENSG00000065526.6	SPEN	-0.10982010010634	27	uniform	3	530.551587104797
ENSG00000011009.6	LYPLA2	-0.0499338044735091	29	uniform	2	387.13912653923
ENSG00000117751.13	PPP1R8	-0.0283433915237284	25	distance	1	371.1229429245
ENSG00000159189.7	C1QC	0.0236147468273461	27	uniform	2	734.69095659256
ENSG00000162444.11	RBP7	0.0543489726830589	29	uniform	1	359.710262298584
ENSG00000204219.5	TCEA3	0.0318457060447822	19	uniform	1	534.086074113846
ENSG00000132881.7	RSG1	0.0129124999776683	17	uniform	1	462.250241756439
ENSG00000173372.12	C1QA	-0.0557142663611425	29	uniform	1	657.078170537949
ENSG00000162419.8	GMEB1	-0.100581832937017	31	distance	1	417.165222406387
ENSG00000133226.12	SRRM1	-0.0628138975364159	21	uniform	2	496.912137031555
ENSG00000219481.6	NBPF1	-0.0536271653734453	27	uniform	3	466.122296571732
ENSG00000074800.9	ENO1	-0.0287455948611702	21	uniform	1	703.119369506836
ENSG00000142632.11	ARHGEF19	0.2093105516285	7	uniform	1	348.424345970154
ENSG00000158825.5	CDA	0.116314000711514	23	distance	2	675.142404794693
ENSG00000171603.12	CLSTN1	-0.0328716703333541	27	uniform	1	565.485104084015
ENSG00000158292.6	GPR153	-0.0542145810314874	29	uniform	2	723.990923404694
ENSG00000116786.7	PLEKHM2	0.0364553948523932	29	distance	3	762.601393938065
ENSG00000007968.6	E2F2	-0.0498093066576363	27	uniform	1	579.32058596611
ENSG00000142657.16	PGD	-0.0523853449337935	31	uniform	2	404.161595821381
ENSG00000175707.7	C1orf172	0.027106151939246	21	uniform	3	441.876223564148
ENSG00000162496.4	DHRS3	-0.0943779955825192	15	uniform	2	274.30318903923
ENSG00000078808.12	SDF4	-0.0356556258183292	31	uniform	1	70.1504211425781
ENSG00000131591.13	C1orf159	-0.0145526666328966	31	uniform	2	56.7467555999756
ENSG00000160087.16	UBE2J2	0.010648014781083	25	uniform	1	49.8962247371674
ENSG00000133216.12	EPHB2	-0.0522726773031081	27	distance	3	708.732494831085
ENSG00000198793.8	MTOR	-0.0176305270331282	15	distance	2	534.909536838531
ENSG00000127483.13	HP1BP3	0.0449086028587187	27	uniform	1	642.640214920044
ENSG00000142684.7	ZNF593	0.0640329343100961	19	distance	2	382.913686990738
ENSG00000188290.6	HES4	-0.0130951920561681	31	distance	2	48.4030380249023
ENSG00000142677.3	IL22RA1	-0.0646687780142299	17	uniform	1	555.02839422226
ENSG00000188157.9	AGRN	-0.0530066192909789	23	distance	3	64.2157166004181
ENSG00000157933.9	SKI	-0.0129705266464339	13	distance	2	271.337730407715
ENSG00000130775.11	THEMIS2	0.0870356658785485	11	distance	2	399.092350244522
ENSG00000097021.14	ACOT7	0.00270707503286174	31	distance	2	594.207067012787
ENSG00000188529.10	SRSF10	-0.0148746329735032	15	uniform	3	647.621704816818
ENSG00000070831.11	CDC42	-0.0325877527729615	25	uniform	1	729.337466239929
ENSG00000074964.12	ARHGEF10L	-0.032320004042313	9	uniform	2	696.237187862396
ENSG00000158828.5	PINK1	-0.0368136869038622	23	uniform	1	629.630429983139
ENSG00000130940.10	CASZ1	-0.0115213399348068	15	uniform	2	429.738181591034
ENSG00000224051.2	GLTPD1	-0.0258976318734266	29	uniform	1	75.2127475738525
ENSG00000142675.13	CNKSR1	-0.0258873580094724	31	distance	1	397.749890327454
ENSG00000116649.5	SRM	-0.0664503249936884	31	distance	3	518.962961435318
ENSG00000049245.8	VAMP3	-0.0620471021516981	27	distance	1	735.278656721115
ENSG00000158109.10	TPRG1L	-0.00594699555843645	25	distance	1	469.204959392548
ENSG00000049249.4	TNFRSF9	0.0989670258858235	31	uniform	1	637.114108562469
ENSG00000142583.13	SLC2A5	0.0965725309105932	23	uniform	2	374.035525560379
ENSG00000008128.18	CDK11A	-0.0259096688125488	29	uniform	3	97.1075754165649
ENSG00000162511.7	LAPTM5	-0.0947823643264667	31	uniform	1	839.464394807816
ENSG00000117318.8	ID3	-0.0418811299659762	29	uniform	2	576.779062986374
ENSG00000116350.11	SRSF4	-0.00166703484605659	31	uniform	3	396.066901445389
ENSG00000159339.9	PADI4	0.0180202372088887	21	distance	1	801.373474597931
ENSG00000244038.5	DDOST	0.026700546309804	15	uniform	1	649.780367612839
ENSG00000130939.14	UBE4B	-0.0540662594691854	21	uniform	1	479.207138776779
ENSG00000134644.11	PUM1	-0.0781495470103733	31	distance	1	740.656750440598
ENSG00000011021.17	CLCN6	-0.00349784122412875	29	uniform	2	455.238415718079
ENSG00000253368.3	TRNP1	0.245347879575374	15	distance	1	455.937887191772
ENSG00000117118.5	SDHB	-0.0811131931645425	27	uniform	3	505.277966737747
ENSG00000078369.13	GNB1	-0.0726018585914166	31	uniform	1	143.991630792618
ENSG00000090432.5	MUL1	-0.0152498015553401	25	uniform	1	418.735389709473
ENSG00000158156.7	XKR8	-0.0170859017843284	23	distance	3	343.511359453201
ENSG00000126709.10	IFI6	-0.0606617995254973	31	uniform	2	371.569324731827
ENSG00000196581.6	AJAP1	-0.0626025884609921	29	uniform	3	872.990960121155
ENSG00000204138.8	PHACTR4	0.145612055361857	21	distance	2	485.850700616837
ENSG00000142669.9	SH3BGRL3	0.166217983275189	13	uniform	1	431.038824558258
ENSG00000186501.9	TMEM222	-0.10585319590508	31	distance	1	376.165180206299
ENSG00000242485.1	MRPL20	0.0242995961723667	31	uniform	3	66.4379529953003
ENSG00000169403.7	PTAFR	0.0141042058031788	27	distance	3	315.484692573547
ENSG00000116731.18	PRDM2	-0.019869020050933	21	uniform	3	540.428495168686
ENSG00000004487.11	KDM1A	0.0445187070223903	19	uniform	2	544.304026603699
ENSG00000189409.8	MMP23B	-0.0211432532714815	31	distance	1	138.81968998909
ENSG00000173436.9	MINOS1	-0.0234111753044959	29	uniform	1	696.02023267746
ENSG00000116251.5	RPL22	-0.0138190255616467	29	uniform	2	483.285308837891
ENSG00000142765.13	SYTL1	-0.108499386506997	31	uniform	1	500.177643537521
ENSG00000117682.12	DHDDS	-0.0725056568707545	31	uniform	3	445.736865758896
ENSG00000117115.8	PADI2	0.00954119316035467	21	uniform	2	495.405633687973
ENSG00000169598.11	DFFB	0.0178205558460329	31	uniform	1	589.574931383133
ENSG00000175087.5	PDIK1L	-0.0507124862583197	27	uniform	1	485.427180290222
ENSG00000142606.11	MMEL1	0.181257005101603	25	uniform	1	240.63725566864
ENSG00000142676.8	RPL11	-0.0348843673257548	31	distance	2	542.354210615158
