Gene_ID	Gene_Name	CV_R2	n_estimators	time.s.
ENSG00000198492.10	YTHDF2	-0.0926255041085386	300	3347.944658041
ENSG00000173369.11	C1QB	-0.0459716470008339	300	4483.59678912163
ENSG00000171608.11	PIK3CD	-0.0370723206745406	500	3723.29018807411
ENSG00000169991.6	IFFO2	-0.000302315135357611	400	4893.23018670082
ENSG00000177674.11	AGTRAP	-0.00752916110779573	450	3394.59653639793
ENSG00000197785.9	ATAD3A	-0.107778283839443	400	795.816680192947
ENSG00000159363.13	ATP13A2	-0.0550763803150036	500	3096.27779006958
ENSG00000060642.6	PIGV	-0.161201776694941	450	3267.00328946114
ENSG00000117676.9	RPS6KA1	-0.105055415700746	150	3498.82068347931
ENSG00000049247.9	UTS2	0.445057908336215	150	6927.64067721367
ENSG00000116688.12	MFN2	0.506821843091449	450	3305.43310141563
ENSG00000131697.13	NPHP4	-0.043093099322015	150	4680.09781718254
ENSG00000189266.7	PNRC2	-0.0251389138816015	450	3992.31890416145
ENSG00000116273.5	PHF13	-0.018154468390203	400	3655.53459787369
ENSG00000049239.8	H6PD	0.098478240336186	450	3713.75802946091
ENSG00000000938.8	FGR	-0.0225316836326759	500	2672.08697652817
ENSG00000020633.14	RUNX3	-0.0824809925584781	450	2638.08271741867
ENSG00000176022.3	B3GALT6	0.153727149301957	500	514.123089551926
ENSG00000060688.8	SNRNP40	0.0973494340110062	450	4903.32441663742
ENSG00000069424.10	KCNAB2	-0.0235219212409554	450	4271.81081819534
ENSG00000120942.9	UBIAD1	-0.0680574315762057	500	3393.12316298485
ENSG00000001461.12	NIPAL3	-0.0875524559563576	450	3514.24614214897
ENSG00000054523.12	KIF1B	0.0941136823875303	250	3205.27610135078
ENSG00000116237.11	ICMT	0.0794886724740185	400	4296.5505926609
ENSG00000160049.7	DFFA	-0.0433529078739059	50	2725.83310556412
ENSG00000126698.6	DNAJC8	0.257254249296586	200	2548.67729258537
ENSG00000125944.14	HNRNPR	-0.0179479926728769	50	3698.29451608658
ENSG00000175756.9	AURKAIP1	-0.0660031451774785	200	613.083041906357
ENSG00000121766.10	ZCCHC17	-0.0557023864168258	200	4873.11702394485
ENSG00000183726.6	TMEM50A	-0.0194267293094736	500	4499.96746253967
ENSG00000158195.6	WASF2	-0.0883939715803839	200	3275.63974547386
ENSG00000159423.12	ALDH4A1	-0.00651637272740062	100	4505.05220508575
ENSG00000117616.13	C1orf63	-0.0569134880197958	250	4295.0291531086
ENSG00000162482.4	AKR7A3	0.206240655770593	100	4971.52902340889
ENSG00000187980.6	PLA2G2C	-0.109865952746781	50	4699.97014260292
ENSG00000157873.13	TNFRSF14	-0.0197390787207626	400	2093.27735733986
ENSG00000117713.13	ARID1A	-0.147744356993793	450	3563.8454823494
ENSG00000117614.5	SYF2	0.0052072861134328	500	4094.55804467201
ENSG00000204160.6	ZDHHC18	-0.0923375215478456	300	2182.83307409286
ENSG00000162430.12	SEPN1	-0.149619526515532	350	3822.64930057526
ENSG00000083444.12	PLOD1	0.0418130742848323	50	3259.2519505024
ENSG00000187583.5	PLEKHN1	-0.126350860584185	100	631.212311267853
ENSG00000215695.1	RSC1A1	-0.0625898510981594	50	4404.49424171448
ENSG00000221978.7	CCNL2	-0.121649780191878	350	642.640461444855
ENSG00000159023.14	EPB41	-0.0435380372990063	500	3814.4644382
