Gene_ID	Gene_Name	CV_R2	n_estimators	time.s.
ENSG00000162482.4	AKR7A3	0.00192870905661169	250	8495.2592754364
ENSG00000116288.8	PARK7	-0.0161170415003477	350	6407.85629248619
ENSG00000187980.6	PLA2G2C	-0.0537030755206109	150	8606.76168274879
ENSG00000090273.9	NUDC	0.0101268698832234	300	4178.38412237167
ENSG00000116273.5	PHF13	-0.0379412041713907	500	7431.62375569344
ENSG00000009709.7	PAX7	-0.028913941193216	350	8757.07398033142
ENSG00000132881.7	RSG1	-0.0269093432124713	400	5609.60607886314
ENSG00000204138.8	PHACTR4	0.0364250721615001	450	5535.60244321823
ENSG00000117640.13	MTFR1L	-0.00712783760325619	450	4943.54594945908
ENSG00000158825.5	CDA	0.547353287843566	150	7157.35200691223
ENSG00000142684.7	ZNF593	0.355337972465775	300	3551.9529569149
ENSG00000116237.11	ICMT	0.138205381008199	500	7735.31480097771
ENSG00000142676.8	RPL11	-0.0349221589496163	150	6020.33076024055
ENSG00000162585.12	C1orf86	0.192968600139166	450	3403.61578679085
ENSG00000204160.6	ZDHHC18	0.0824138308260901	500	3843.1548678875
ENSG00000158161.11	EYA3	-0.0366684771038423	500	4763.214625597
ENSG00000142794.14	NBPF3	0.0764753233010898	350	8078.61554598808
ENSG00000189409.8	MMP23B	-0.114684171872097	250	2441.47756934166
ENSG00000142655.8	PEX14	0.0483592048095481	100	4514.96901679039
ENSG00000078808.12	SDF4	-0.0173235676079401	500	1238.15335035324
ENSG00000120656.7	TAF12	-0.0842637579359947	500	5313.02813124657
ENSG00000011007.7	TCEB3	0.406193813503637	250	5615.78004932404
ENSG00000158292.6	GPR153	-0.0446644453422061	450	7415.2231669426
ENSG00000117308.10	GALE	-0.0559476854574795	400	5925.85444998741
ENSG00000171824.9	EXOSC10	-0.0342557056473847	500	6702.39683222771
ENSG00000142634.8	EFHD2	-0.0490360924248221	350	8028.88367819786
ENSG00000116688.12	MFN2	0.350212964393678	100	5346.59992980957
ENSG00000142675.13	CNKSR1	-0.0840380959260835	500	4082.97185301781
ENSG00000090020.6	SLC9A1	-0.0558934297625329	250	4109.00616765022
ENSG00000188157.9	AGRN	-0.0723949756543262	500	837.789546012878
ENSG00000175206.6	NPPA	-0.0312546339011005	300	6071.8434343338
ENSG00000001461.12	NIPAL3	-0.0477534893327079	400	6220.16261982918
ENSG00000177000.6	MTHFR	0.189403217740048	500	6402.99075603485
ENSG00000011021.17	CLCN6	0.0132854335440273	450	6222.94226980209
ENSG00000004487.11	KDM1A	0.0742563928749085	500	5738.38596963882
ENSG00000065526.6	SPEN	-0.0554299389480496	500	7808.22104549408
ENSG00000142677.3	IL22RA1	-0.110054551418752	500	6421.91701745987
ENSG00000117602.7	RCAN3	-0.0135273594764517	400	5340.78922319412
ENSG00000117643.10	MAN1C1	-0.124966124824122	50	5749.52407598495
ENSG00000162419.8	GMEB1	-0.0594420271957927	300	5535.87749671936
ENSG00000077549.13	CAPZB	-0.0370670356189498	400	8627.14428782463
ENSG00000116670.10	MAD2L2	-0.0254398850978829	350	5852.6862616539
ENSG00000215695.1	RSC1A1	-0.0385578822584433	500	7033.27660870552
ENSG00000049247.9	UTS2	0.500419001479574	100	9317.3023416996
ENSG00000125944.14	HNRNPR	-0.0461599287341259	500	5126.32266688347
ENSG00000204510.1	PRAMEF7	-0.0465974412814498	500	2808.0517244339
ENSG00000008128.18	CDK11A	-0.0501891394572576	100	2269.61662888527
ENSG00000011009.6	LYPLA2	-0.0297434449183375	400	5434.64402556419
ENSG00000117118.5	SDHB	-0.0478560184985474	400	5673.32415556908
ENSG00000116350.11	SRSF4	-0.00774093819081301	400	5545.0135436058
ENSG00000060642.6	PIGV	-0.0627422017258044	200	3716.53429341316
ENSG00000198746.8	GPATCH3	-0.109020883601019	400	3445.34927415848
ENSG00000169504.10	CLIC4	0.0816339314945364	500	4830.83573412895
ENSG00000117713.13	ARID1A	0.0565680086697427	100	3740.06233501434
ENSG00000159339.9	PADI4	0.265351687068103	100	5347.28579640388
ENSG00000074964.12	ARHGEF10L	-0.0619558249819516	500	6611.47151732445
ENSG00000049249.4	TNFRSF9	-0.0149411831452591	500	5961.15937924385
ENSG00000160075.10	SSU72	-0.0230744051621276	450	1921.68350195885
ENSG00000162444.11	RBP7	0.056154263114748	400	4634.06575131416
ENSG00000142632.11	ARHGEF19	0.340146524652611	500	4882.07397794724
ENSG00000117758.9	STX12	-0.0516998947161273	150	3738.56166911125
ENSG00000197530.8	MIB2	-0.0382922326179722	500	2278.28718066216
ENSG00000244038.5	DDOST	-0.0269087460046467	450	6642.75672793388
ENSG00000090686.11	USP48	0.00991321615950802	500	7227.84036183357
ENSG00000158156.7	XKR8	-0.045890195547856	500	4333.36843013763
ENSG00000162441.7	LZIC	-0.0381713614944508	450	4896.63957262039
ENSG00000158828.5	PINK1	0.025563502172454	400	6638.19431185722
ENSG00000198492.10	YTHDF2	-0.0979289490110509	500	4833.81892180443
ENSG00000186501.9	TMEM222	-0.0455772171782814	400	3574.41447997093
ENSG00000130775.11	THEMIS2	0.0425821154757637	500	3746.73887181282
ENSG00000171603.12	CLSTN1	-0.0104484116235305	400	4719.31900215149
ENSG00000158062.16	UBXN11	-0.0356227063827285	500	3633.95663237572
ENSG00000127483.13	HP1BP3	0.00505853215794891	400	6927.1901781559
ENSG00000127481.10	UBR4	-0.0622717550989616	300	7665.37201285362
ENSG00000162438.7	CTRC	-0.0123485888395996	500	6769.68185162544
ENSG00000159423.12	ALDH4A1	-0.000933951457053395	300	7242.09623479843
ENSG00000180098.5	TRNAU1AP	-0.0993944142682519	400	4878.32118010521
ENSG00000070886.6	EPHA8	-0.0434892109359066	350	6060.40513420105
ENSG00000116663.6	FBXO6	-0.0218771222837456	500	5578.92910385132
ENSG00000189266.7	PNRC2	0.12588838827821	500	4803.15593385696
ENSG00000175756.9	AURKAIP1	-0.114714075694324	500	1560.54398012161
ENSG00000187608.5	ISG15	0.0647333708088813	300	723.298321247101
ENSG00000162511.7	LAPTM5	0.00712056072236322	300	7519.89410257339
ENSG00000184677.12	ZBTB40	-0.0288273506972669	500	6984.83292746544
ENSG00000157881.9	PANK4	-0.0288989396884011	150	3704.19110941887
ENSG00000069424.10	KCNAB2	-0.0287011372685631	350	7242.42163586617
ENSG00000009780.11	FAM76A	-0.0520348924026292	350	3830.55324649811
ENSG00000162496.4	DHRS3	-0.157466505971988	400	3798.48378610611
ENSG00000116786.7	PLEKHM2	0.0229531746372832	50	6088.82913708687
ENSG00000142765.13	SYTL1	-0.0316016571042669	150	3378.11719441414
ENSG00000173372.12	C1QA	0.0214949599822296	300	5868.26103115082
ENSG00000221978.7	CCNL2	-0.0848271693461155	300	1637.81496715546
ENSG00000169442.4	CD52	0.755176827784845	350	3667.85537719727
ENSG00000158195.6	WASF2	-0.101715245256743	250	3640.9348692894
ENSG00000130939.14	UBE4B	-0.0262701019181081	500	4961.58655071259
ENSG00000169403.7	PTAFR	-0.0837845771460076	500	4442.86542463303
ENSG00000179163.11	FUCA1	0.21520498769127	500	4587.55267071724
ENSG00000171608.11	PIK3CD	-0.0283283217725451	150	4936.47818398476
ENSG00000020633.14	RUNX3	0.0347115525030638	500	4674.59580850601
ENSG00000173436.9	MINOS1	-0.0545998147083424	500	7304.60447430611
ENSG00000160049.7	DFFA	-0.0364815594879911	350	3885.37908411026
ENSG00000053371.8	AKR7A2	0.0541282455692052	250	8176.76997876167
ENSG00000142669.9	SH3BGRL3	0.251523912236063	500	3348.3667576313
ENSG00000117614.5	SYF2	-0.0375479396596747	500	4973.13736343384
ENSG00000142751.10	GPN2	-0.0858377174581136	450	3456.50540828705
ENSG00000116649.5	SRM	-0.0563917167381934	100	5790.50142598152
ENSG00000127054.14	CPSF3L	-0.0977979791234751	500	1284.31091570854
ENSG00000162430.12	SEPN1	-0.0726716055981635	200	4947.60384964943
ENSG00000132906.13	CASP9	0.0886292352468797	450	6608.0031182766
ENSG00000188529.10	SRSF10	-0.0627995401564808	350	5405.82553601265
ENSG00000204178.5	TMEM57	-0.0306852868335913	450	5352.48554158211
ENSG00000126709.10	IFI6	-0.0443892781262931	100	3662.67689561844
ENSG00000097021.14	ACOT7	0.0428771555982105	150	6679.79601287842
ENSG00000120948.11	TARDBP	-0.0549625138485645	450	5581.9677605629
ENSG00000116691.6	MIIP	-0.0123895462757286	500	5106.20738720894
ENSG00000204859.7	ZBTB48	-0.0363424331662371	450	6221.72318696976
ENSG00000053372.4	MRTO4	-0.057382193161108	250	7144.73440861702
ENSG00000130764.5	LRRC47	0.0111810991371843	350	6858.22184443474
ENSG00000197785.9	ATAD3A	0.00524524349653686	350	1747.12514829636
ENSG00000158109.10	TPRG1L	0.247188207011028	200	6011.47940707207
ENSG00000007923.11	DNAJC11	-0.0621076965517796	300	6213.36766552925
ENSG00000253368.3	TRNP1	-0.0610585044003174	250	3387.35219788551
ENSG00000177674.11	AGTRAP	0.0616478852120385	500	5284.96526455879
ENSG00000116251.5	RPL22	-0.00913029621359684	500	6757.53302788734
ENSG00000116731.18	PRDM2	-0.0211765609195075	500	5197.29983878136
ENSG00000175707.7	C1orf172	-0.0120224775432334	500	3455.99464321136
ENSG00000126698.6	DNAJC8	0.180124995200489	350	4096.40089154243
ENSG00000133226.12	SRRM1	-0.0758575435139327	150	5342.39600348473
ENSG00000142599.13	RERE	0.107844608784553	250	6814.39937162399
ENSG00000120942.9	UBIAD1	-0.0090526044219102	150	5740.00152158737
ENSG00000048707.9	VPS13D	-0.0456930235457206	100	4608.35737013817
ENSG00000157933.9	SKI	-0.00758453479505634	500	3372.09172964096
ENSG00000162413.12	KLHL21	-0.0392151682079535	300	6413.47593855858
ENSG00000169972.7	PUSL1	-0.0392984110282717	250	1170.63019013405
ENSG00000117115.8	PADI2	0.0943086043265483	500	4980.10757350922
ENSG00000159189.7	C1QC	0.0055324238435227	450	5724.44341182709
ENSG00000173614.9	NMNAT1	-0.00699699488584549	500	4910.9897146225
ENSG00000183726.6	TMEM50A	0.113798118397923	100	4872.48860120773
