Gene_ID	Gene_Name	CV_R2	n_neigbors	weights	p	time.s.
ENSG00000158161.11	EYA3	-0.0153383028800577	31	uniform	1	731.785496473312
ENSG00000177674.11	AGTRAP	-0.0287981761145569	31	uniform	1	881.85390162468
ENSG00000183726.6	TMEM50A	-0.00239739128628436	31	distance	1	866.245194196701
ENSG00000116809.7	ZBTB17	0.000662647495472601	27	distance	1	823.350894212723
ENSG00000116688.12	MFN2	0.0945338964371644	23	distance	1	805.259239912033
ENSG00000162438.7	CTRC	-0.0639338333482256	31	distance	2	1027.20694470406
ENSG00000117643.10	MAN1C1	-0.0327496224325092	31	uniform	3	770.989947795868
ENSG00000169972.7	PUSL1	-0.0685699651708084	29	uniform	3	197.199069738388
ENSG00000162585.12	C1orf86	0.0603704423182433	15	distance	2	506.28369474411
ENSG00000198912.6	C1orf174	-0.0178745085092904	31	uniform	3	1053.05076098442
ENSG00000159023.14	EPB41	-0.0309779754963521	31	uniform	2	875.201149702072
ENSG00000186501.9	TMEM222	-0.0431572002010079	31	distance	2	606.750216722488
ENSG00000116251.5	RPL22	-0.0542559188280753	31	uniform	1	926.642851829529
ENSG00000204219.5	TCEA3	0.0219860605814608	27	uniform	3	735.906968832016
ENSG00000126709.10	IFI6	-0.0774769863057408	31	uniform	3	603.663147449493
ENSG00000204138.8	PHACTR4	0.0548995152065559	31	uniform	2	776.019710302353
ENSG00000009709.7	PAX7	-0.0289277741197655	31	uniform	1	1210.64844179153
ENSG00000117215.10	PLA2G2D	-0.0709788063543824	31	uniform	2	1006.46566748619
ENSG00000028137.12	TNFRSF1B	-0.0809384483992315	31	uniform	3	763.253597736359
ENSG00000159189.7	C1QC	-0.0510866313171132	31	uniform	2	956.757934331894
ENSG00000171824.9	EXOSC10	-0.0693955634886536	31	distance	3	894.221978187561
ENSG00000011007.7	TCEB3	0.166346385047244	15	uniform	3	761.084216833115
ENSG00000075151.15	EIF4G3	-0.0127358065476875	31	distance	1	1236.61215758324
ENSG00000142634.8	EFHD2	-0.042567027775261	29	uniform	2	1148.97561979294
ENSG00000162496.4	DHRS3	-0.00525192658369786	31	uniform	1	488.519729137421
ENSG00000196581.6	AJAP1	-0.0561379520061346	29	distance	1	1403.75248742104
ENSG00000070886.6	EPHA8	-0.0551230049593802	31	uniform	2	1050.58996939659
ENSG00000117676.9	RPS6KA1	0.0509249964446088	29	uniform	3	663.428400039673
ENSG00000116288.8	PARK7	-0.0510625299513326	31	uniform	2	998.120518445969
ENSG00000132881.7	RSG1	0.0102893386266089	29	uniform	3	775.265194177628
ENSG00000121766.10	ZCCHC17	0.0348668877124883	31	distance	3	1001.15148687363
ENSG00000204160.6	ZDHHC18	-0.0111395354767721	27	distance	2	696.466440200806
ENSG00000116213.11	WRAP73	-0.0492211733895185	31	uniform	3	975.122411489487
ENSG00000117616.13	C1orf63	-0.051372506402776	31	uniform	1	874.383096218109
ENSG00000242485.1	MRPL20	0.152570151390694	29	distance	3	248.577840089798
ENSG00000090686.11	USP48	0.0209361735872691	31	uniform	2	1214.96686840057
ENSG00000090020.6	SLC9A1	-0.0476497383472901	31	uniform	1	712.129177093506
ENSG00000130939.14	UBE4B	0.0233617352653304	31	distance	1	872.702918052673
ENSG00000127054.14	CPSF3L	-0.034114710833747	29	distance	3	207.784627199173
ENSG00000157191.15	NECAP2	0.187964429581115	11	uniform	3	848.032218456268
ENSG00000158109.10	TPRG1L	-0.0296867046849468	13	distance	3	936.710547447205
ENSG00000131591.13	C1orf159	-0.0187017266356569	31	uniform	2	185.676701307297
ENSG00000074800.9	ENO1	-0.064466613379215	31	uniform	3	876.206591367722
ENSG00000173436.9	MINOS1	-0.0568100919660407	31	uniform	1	1149.16455721855
ENSG00000159339.9	PADI4	0.101991284067805	23	uniform	3	937.39450097084
ENSG00000117318.8	ID3	0.000421545201176077	23	distance	2	781.160530805588
ENSG00000117751.13	PPP1R8	-0.037018542710647	27	uniform	2	667.019864559174
ENSG00000049245.8	VAMP3	0.000180082098333823	29	uniform	1	928.124154567719
ENSG00000008130.11	NADK	0.0160527432273611	19	uniform	3	376.744704961777
ENSG00000142733.10	MAP3K6	-0.050706387483593	31	uniform	1	666.993242740631
ENSG00000060688.8	SNRNP40	0.00432979376366878	25	uniform	1	1052.66057682037
ENSG00000162482.4	AKR7A3	-0.0592285167243404	29	distance	1	1083.1513543129
ENSG00000179051.9	RCC2	0.0230562241384911	31	distance	3	891.329500198364
ENSG00000130764.5	LRRC47	0.00694074346332982	27	distance	1	1070.13293027878
ENSG00000116670.10	MAD2L2	-0.035174953680758	31	distance	1	827.337416410446
ENSG00000083444.12	PLOD1	3.09146422678985e-06	31	uniform	2	800.172212839127
ENSG00000049239.8	H6PD	-0.000915963952524113	25	distance	2	791.614600658417
ENSG00000142677.3	IL22RA1	0.0124655438860275	23	distance	1	793.438286066055
ENSG00000116691.6	MIIP	-0.0433426121696851	31	distance	3	793.666909456253
ENSG00000188290.6	HES4	0.0237561166364417	27	distance	3	155.563643217087
ENSG00000053372.4	MRTO4	-0.0172448119883807	27	distance	3	1050.01669740677
ENSG00000057757.5	PITHD1	0.000611183855368824	29	uniform	3	750.978718996048
ENSG00000117640.13	MTFR1L	-0.0389535202040504	29	uniform	3	722.496726512909
ENSG00000090273.9	NUDC	-0.0513913330768635	29	distance	2	670.572283983231
ENSG00000253368.3	TRNP1	0.0766038750329547	13	uniform	2	707.24552989006
ENSG00000188976.6	NOC2L	-0.00110772887199293	29	distance	1	153.955827236176
ENSG00000158195.6	WASF2	-0.0547948684130236	31	uniform	3	697.321802616119
ENSG00000175756.9	AURKAIP1	-0.0200732257807673	31	uniform	3	230.736523151398
ENSG00000120656.7	TAF12	-0.0180478336014444	27	uniform	3	739.035398721695
ENSG00000116237.11	ICMT	-0.0170127623302622	27	uniform	1	909.251737594604
ENSG00000131697.13	NPHP4	-0.027329413503984	13	distance	2	1034.74121189117
ENSG00000204510.1	PRAMEF7	-0.0584854807490864	31	uniform	1	436.756885766983
ENSG00000125944.14	HNRNPR	-0.0317274614639563	19	uniform	3	777.259668588638
ENSG00000169991.6	IFFO2	-0.0225849352449474	31	distance	3	1156.83951640129
ENSG00000158156.7	XKR8	-0.00808764863904492	31	distance	2	665.736284732819
ENSG00000142583.13	SLC2A5	0.00841613913447565	25	distance	3	795.358286380768
ENSG00000117748.5	RPA2	0.249872911519212	13	distance	1	660.633305072784
ENSG00000187583.5	PLEKHN1	-0.00741223625211158	31	uniform	2	150.150208950043
ENSG00000117758.9	STX12	-0.0187682485342009	31	distance	1	626.830129861832
ENSG00000117614.5	SYF2	-0.0382594040945338	27	uniform	3	816.083490610123
ENSG00000116649.5	SRM	-0.0273119191737162	27	uniform	2	884.835777044296
ENSG00000142765.13	SYTL1	-0.0229279304813981	31	uniform	1	657.632965803146
ENSG00000157916.14	RER1	-0.0107869870732228	29	distance	3	590.773633241653
ENSG00000157881.9	PANK4	-0.0382384578460136	31	distance	1	579.91922712326
ENSG00000177000.6	MTHFR	0.040727292362728	23	distance	2	877.175480365753
ENSG00000187608.5	ISG15	0.00963288410103029	31	uniform	1	150.628698587418
ENSG00000142751.10	GPN2	-0.0522043243090828	31	uniform	3	638.185195446014
ENSG00000132906.13	CASP9	0.0348764593238604	29	uniform	1	1026.9414100647
ENSG00000069424.10	KCNAB2	-0.0529490439960893	31	uniform	1	999.973338842392
ENSG00000244038.5	DDOST	-0.031767693604742	29	uniform	1	964.738896608353
ENSG00000000938.8	FGR	-0.0394729042287184	31	distance	1	603.991695642471
ENSG00000215695.1	RSC1A1	-0.024592428798732	29	uniform	1	951.58721780777
ENSG00000117602.7	RCAN3	-0.0203283337028032	31	uniform	2	723.819019079208
ENSG00000142655.8	PEX14	0.0846822113544659	17	distance	3	805.200295448303
ENSG00000162444.11	RBP7	0.0416258581862216	17	distance	1	785.138772964478
ENSG00000011009.6	LYPLA2	-0.0252246543528458	25	distance	3	747.164902210236
ENSG00000197785.9	ATAD3A	-0.0196034224032729	25	uniform	3	269.853582859039
ENSG00000176022.3	B3GALT6	0.0309191133159719	13	uniform	1	202.591009616852
ENSG00000049247.9	UTS2	0.457407241972689	23	distance	1	894.376691102982
ENSG00000169598.11	DFFB	-0.0172921658962899	31	uniform	3	1057.02364325523
ENSG00000074964.12	ARHGEF10L	-0.0409607285102396	31	distance	3	921.882086038589
ENSG00000197530.8	MIB2	-0.0141839782747809	31	uniform	1	318.440760850906
ENSG00000142684.7	ZNF593	0.0734204391555591	31	distance	2	589.684489488602
ENSG00000130770.13	ATPIF1	0.170630770721632	15	distance	2	698.940181493759
ENSG00000179163.11	FUCA1	0.11081755656525	21	distance	1	747.945600271225
ENSG00000007923.11	DNAJC11	-0.033739703230562	29	uniform	1	886.75671339035
ENSG00000204178.5	TMEM57	-0.0232335474370672	31	uniform	1	830.170719385147
ENSG00000160049.7	DFFA	-0.0568964307225057	31	uniform	3	718.662571668625
ENSG00000173372.12	C1QA	-0.120610833773149	29	distance	1	968.870610713959
ENSG00000133216.12	EPHB2	-0.0167059758190722	27	uniform	3	1002.26599907875
ENSG00000188157.9	AGRN	-0.0573513206551817	27	distance	3	172.447924613953
ENSG00000117305.10	HMGCL	-0.0468340640672521	31	distance	1	778.93515086174
ENSG00000157978.7	LDLRAP1	-0.0664210134806741	29	distance	2	875.066514730453
ENSG00000142669.9	SH3BGRL3	0.233126375055594	17	distance	1	622.536405324936
ENSG00000160075.10	SSU72	0.145908156583754	25	distance	3	297.746397256851
ENSG00000070831.11	CDC42	0.103237985358719	29	uniform	3	1136.42237091064
ENSG00000189266.7	PNRC2	-0.0121737998638736	29	uniform	2	719.585579633713
ENSG00000157870.10	FAM213B	0.0163588650195369	29	uniform	1	569.261893510818
ENSG00000065526.6	SPEN	-0.0201274372650751	31	uniform	2	849.689785718918
ENSG00000158062.16	UBXN11	-0.0176264388277755	27	uniform	2	634.845578432083
ENSG00000007968.6	E2F2	-0.0312115209700135	31	uniform	2	748.450472354889
ENSG00000117682.12	DHDDS	-0.0334509139420742	31	uniform	3	652.322967529297
ENSG00000078808.12	SDF4	-0.00213035927496319	31	distance	3	186.269383192062
ENSG00000180098.5	TRNAU1AP	0.0196549668766979	21	uniform	1	740.884073734283
ENSG00000097021.14	ACOT7	0.0128367345634609	9	uniform	3	1014.52436947823
ENSG00000198492.10	YTHDF2	-0.036622610576301	23	uniform	1	743.598937273026
ENSG00000159423.12	ALDH4A1	-0.063810406089878	31	distance	1	1097.9393594265
ENSG00000133226.12	SRRM1	0.00549977604455194	31	uniform	2	709.022787809372
ENSG00000188529.10	SRSF10	0.00218090315859321	27	distance	3	748.172346830368
ENSG00000162419.8	GMEB1	-0.067816802780795	27	distance	1	708.661602735519
ENSG00000182749.5	PAQR7	-0.0253647890263525	31	distance	3	703.792540788651
ENSG00000158828.5	PINK1	0.0266544105547366	29	distance	1	973.539005279541
ENSG00000116786.7	PLEKHM2	0.0495284654050608	31	uniform	2	898.642974376678
ENSG00000117298.10	ECE1	-0.0424759562872688	27	distance	2	1121.98284935951
ENSG00000224051.2	GLTPD1	-0.0447942157810382	31	distance	2	193.586304426193
ENSG00000162413.12	KLHL21	-0.0226752033989702	29	uniform	1	862.346125841141
ENSG00000142676.8	RPL11	-0.0306386978921767	23	uniform	1	728.030813217163
ENSG00000126698.6	DNAJC8	0.158299496768362	15	distance	2	669.285553455353
ENSG00000049246.10	PER3	-0.0549973711824289	31	distance	1	847.205483198166
ENSG00000171729.9	TMEM51	0.135161160502685	19	distance	1	1038.64040970802
ENSG00000142632.11	ARHGEF19	0.104694179781053	25	distance	1	735.64962387085
ENSG00000162441.7	LZIC	-0.00688875036179386	13	uniform	2	740.367344856262
ENSG00000187980.6	PLA2G2C	-0.0140296488044013	31	uniform	3	949.320150375366
ENSG00000120942.9	UBIAD1	-0.0120614115393959	31	distance	3	853.958540201187
ENSG00000142599.13	RERE	0.0461439607256881	31	distance	3	1025.4507021904
ENSG00000160087.16	UBE2J2	-0.012370191189751	23	uniform	3	185.118174552917
ENSG00000198746.8	GPATCH3	-0.0604542035096536	31	distance	3	609.109975814819
ENSG00000067606.11	PRKCZ	-0.0663307681670596	29	uniform	1	467.239023923874
ENSG00000169442.4	CD52	0.447540785578615	9	distance	1	604.648510456085
