Gene_ID	Gene_Name	CV_R2	n_estimators	time.s.
ENSG00000158161.11	EYA3	0.0378495018596092	400	3223.49537730217
ENSG00000177674.11	AGTRAP	0.00107812273297478	100	4087.92983055115
ENSG00000183726.6	TMEM50A	0.0802492690207404	150	3677.50521731377
ENSG00000116809.7	ZBTB17	-0.0396326649855557	50	4084.53286242485
ENSG00000116688.12	MFN2	0.312927035471395	200	3874.89252209663
ENSG00000162438.7	CTRC	-0.0480575638491386	100	5241.97684884071
ENSG00000117643.10	MAN1C1	-0.0565634765406651	500	4133.21631217003
ENSG00000169972.7	PUSL1	-0.03805071171764	300	1106.86776423454
ENSG00000162585.12	C1orf86	0.113788864398178	200	2499.82303452492
ENSG00000198912.6	C1orf174	0.0236138640937447	150	5156.00860762596
ENSG00000159023.14	EPB41	-0.0693612645146447	200	4019.12494301796
ENSG00000186501.9	TMEM222	-0.0488936274837036	500	2765.56039118767
ENSG00000116251.5	RPL22	-0.0691997243691148	100	4598.2448425293
ENSG00000204219.5	TCEA3	0.0417862302463371	250	3705.92085599899
ENSG00000126709.10	IFI6	-0.155608054406582	500	3034.7522084713
ENSG00000204138.8	PHACTR4	-0.00145435115184966	300	3437.04557323456
ENSG00000009709.7	PAX7	-0.062335903274659	500	5562.84145116806
ENSG00000117215.10	PLA2G2D	-0.0672928316995953	100	4719.09960770607
ENSG00000028137.12	TNFRSF1B	-0.0962236891235911	500	3481.1454770565
ENSG00000159189.7	C1QC	-0.0847743982627453	500	4800.45315098763
ENSG00000171824.9	EXOSC10	-0.0592063438055185	50	4398.66952419281
ENSG00000011007.7	TCEB3	0.263737912475291	500	3401.58114933968
ENSG00000075151.15	EIF4G3	-0.0341716457011218	150	6036.3993499279
ENSG00000142634.8	EFHD2	-0.0410726928371461	500	4894.18463373184
ENSG00000162496.4	DHRS3	-0.0639892889025246	400	2497.75558900833
ENSG00000196581.6	AJAP1	-0.07383749186518	150	6187.55093359947
ENSG00000070886.6	EPHA8	-0.0811194421755225	450	4770.32224154472
ENSG00000117676.9	RPS6KA1	0.0443985460779041	50	3078.20507216454
ENSG00000116288.8	PARK7	-0.0730867543533144	500	4346.37090349197
ENSG00000132881.7	RSG1	-0.0247327241645895	150	3438.15454554558
ENSG00000121766.10	ZCCHC17	0.0487586827648647	150	4374.16934704781
ENSG00000204160.6	ZDHHC18	0.0424888239902608	400	3070.15966677666
ENSG00000116213.11	WRAP73	-0.027645018396514	100	4728.1721971035
ENSG00000117616.13	C1orf63	-0.0754364284342915	400	4427.14148449898
ENSG00000242485.1	MRPL20	0.194588784425845	400	1265.52056694031
ENSG00000090686.11	USP48	0.0270338647026526	50	5687.42024445534
ENSG00000090020.6	SLC9A1	-0.0463856568626035	200	3271.49264860153
ENSG00000130939.14	UBE4B	0.0322385297201622	100	4277.19580984116
ENSG00000127054.14	CPSF3L	-0.061750839500455	500	1116.42192625999
ENSG00000157191.15	NECAP2	0.481492901900898	450	3939.61462759972
ENSG00000158109.10	TPRG1L	0.162956899095548	300	4584.80516076088
ENSG00000131591.13	C1orf159	-0.0340665704117865	500	977.254278182983
ENSG00000074800.9	ENO1	-0.0908605353440327	250	4787.13095235825
ENSG00000173436.9	MINOS1	-0.0964779750789724	400	5309.06044220924
ENSG00000159339.9	PADI4	0.290858713463765	500	3957.52893424034
ENSG00000117318.8	ID3	-0.168981338497168	150	4825.64155888557
ENSG00000117751.13	PPP1R8	-0.114602962904204	400	3222.88605952263
ENSG00000049245.8	VAMP3	0.0175671017944683	150	4501.95342946053
ENSG00000008130.11	NADK	-0.0529415764019886	200	1832.31659555435
ENSG00000142733.10	MAP3K6	-0.0233249281340383	200	2966.53829073906
ENSG00000060688.8	SNRNP40	0.0206072305081871	350	4754.98661184311
ENSG00000162482.4	AKR7A3	-0.0616547427726099	250	5676.86341357231
ENSG00000179051.9	RCC2	0.056097981925887	400	4049.99566054344
ENSG00000130764.5	LRRC47	0.0834353031711047	500	4927.85075545311
ENSG00000116670.10	MAD2L2	-0.0473776208888538	350	4281.26010394096
ENSG00000083444.12	PLOD1	0.0346586802568932	500	3809.17004799843
ENSG00000049239.8	H6PD	0.0930612005474221	500	3892.67686581612
ENSG00000142677.3	IL22RA1	-0.0284062722710772	250	3670.82380867004
ENSG00000116691.6	MIIP	-0.112874298794343	450	3850.3533411026
ENSG00000188290.6	HES4	0.0574869469355331	500	820.409375429153
ENSG00000053372.4	MRTO4	-0.0302471113260011	400	4838.67681980133
ENSG00000057757.5	PITHD1	-0.0594764124157271	450	3814.4448223114
ENSG00000117640.13	MTFR1L	-0.0592323565306839	150	3371.82349467278
ENSG00000090273.9	NUDC	-0.0269674793472977	450	3203.85349059105
