Gene_ID	Gene_Name	CV_R2	n_neigbors	weights	p	time.s.
ENSG00000169442	CD52	0.661437285669637	5	uniform	1	1086.01889538765
ENSG00000184292	TACSTD2	0.712293180647528	9	distance	1	2115.41968393326
ENSG00000116874	WARS2	0.535153897099458	13	distance	2	1794.71535015106
ENSG00000198715	C1orf85	0.564473952878924	17	distance	2	1202.69737553596
ENSG00000138439	FAM117B	0.545139311427827	9	distance	1	1395.66979432106
ENSG00000188846	RPL14	0.707639381135552	15	distance	1	1756.32029461861
ENSG00000178252	WDR6	0.529733339122533	13	uniform	2	766.903223276138
ENSG00000129055	ANAPC13	0.517637638879847	17	distance	1	1926.18720769882
ENSG00000109323	MANBA	0.543438428934231	19	distance	2	2092.97529459
ENSG00000151470	C4orf33	0.515173980992082	15	distance	1	1744.25418519974
ENSG00000155542	SETD9	0.559198404245217	13	distance	2	2219.02216649055
ENSG00000197860	SGTB	0.528303879114309	21	distance	1	1914.20077300072
ENSG00000164308	ERAP2	0.693465719990082	9	distance	1	2281.08308172226
ENSG00000198502	HLA-DRB5	0.641882063480574	7	distance	1	5196.75382971764
ENSG00000196126	HLA-DRB1	0.718557064521589	7	distance	1	5148.1256916523
ENSG00000204525	HLA-C	0.641754805714005	11	distance	1	5950.13244605064
ENSG00000179344	HLA-DQB1	0.582973690476965	5	distance	1	5530.32739710808
ENSG00000188372	ZP3	0.558973225017341	9	distance	1	1986.44089508057
ENSG00000146707	POMZP3	0.546554136450223	11	distance	1	1977.42385172844
ENSG00000147592	LACTB2	0.506083505466833	15	distance	1	1870.12886834145
ENSG00000164978	NUDT2	0.537173160283819	7	distance	1	1951.89100122452
ENSG00000173915	USMG5	0.713930902661522	7	distance	1	1589.51867771149
ENSG00000120008	WDR11	0.63791301333576	15	distance	1	2199.78845691681
ENSG00000133704	IPO8	0.519155844926995	9	distance	2	3261.9044084549
ENSG00000166896	XRCC6BP1	0.583354345163817	7	distance	1	1579.82012271881
ENSG00000110906	KCTD10	0.742919380364054	7	distance	1	1630.4732811451
ENSG00000136146	MED4	0.505459598471086	9	distance	1	2219.4464673996
ENSG00000253710	ALG11	0.500952073528516	11	distance	1	1908.85343003273
ENSG00000258289	CHURC1	0.642004089577509	9	distance	1	1975.94544672966
ENSG00000180185	FAHD1	0.516193422420112	27	distance	3	1320.49148249626
ENSG00000257017	HP	0.54092806178118	11	distance	1	1495.06666445732
ENSG00000214941	ZSWIM7	0.72243093159893	23	distance	1	1674.60823249817
ENSG00000108384	RAD51C	0.774068234396545	17	distance	1	1519.21794080734
ENSG00000242550	SERPINB10	0.55580911479587	13	distance	1	2557.05373978615
ENSG00000088930	XRN2	0.674205693626628	13	distance	1	1372.82811832428
ENSG00000100994	PYGB	0.513624679601052	31	distance	1	2124.38392305374
ENSG00000182362	YBEY	0.5542146061224	17	distance	1	1868.71483111382
ENSG00000099940	SNAP29	0.586336889425349	11	distance	1	1063.82730412483
