Gene_ID	Gene_Name	CV_R2	kernel	degree	C	time.s.
ENSG00000198492.10	YTHDF2	-0.0736859462610811	poly	7	0.05	364.195334672928
ENSG00000173369.11	C1QB	-0.0147848207302175	poly	7	0.5	536.330560445786
ENSG00000171608.11	PIK3CD	-0.0104559472949815	poly	7	0.1	316.932580471039
ENSG00000169991.6	IFFO2	-0.00708283349788088	poly	4	0.5	540.70864200592
ENSG00000177674.11	AGTRAP	-0.0122423192384268	rbf	2	0.1	326.419362783432
ENSG00000197785.9	ATAD3A	-0.0309963578922785	sigmoid	2	1.5	111.218960285187
ENSG00000159363.13	ATP13A2	-0.00917809528624698	poly	7	0.01	464.285359859467
ENSG00000060642.6	PIGV	-0.0356357224940721	sigmoid	2	1e-04	358.175676345825
ENSG00000117676.9	RPS6KA1	-0.0355328703585264	poly	7	0.1	372.487704277039
ENSG00000049247.9	UTS2	0.197449793501408	linear	2	0.001	438.4391746521
ENSG00000116688.12	MFN2	0.358058647707714	linear	2	0.005	324.596782684326
ENSG00000131697.13	NPHP4	-0.00777947952790832	rbf	2	0.5	569.629546642303
ENSG00000189266.7	PNRC2	-0.0219002379237883	sigmoid	2	1e-04	471.28548169136
ENSG00000116273.5	PHF13	-0.0100963724055948	poly	4	0.05	547.118528842926
ENSG00000049239.8	H6PD	0.0814707142453126	linear	2	0.001	405.580028772354
ENSG00000000938.8	FGR	-0.00951315545528324	poly	7	0.1	276.477932929993
ENSG00000020633.14	RUNX3	-0.0171592233052158	linear	2	1e-04	378.013580560684
ENSG00000176022.3	B3GALT6	0.103770185514492	poly	2	1	109.070941209793
ENSG00000060688.8	SNRNP40	0.0940409426236399	poly	7	1	652.318782091141
ENSG00000069424.10	KCNAB2	-0.0125319396933673	sigmoid	2	1e-04	504.540394067764
ENSG00000120942.9	UBIAD1	-0.0307856248166551	sigmoid	2	0.1	316.363066196442
ENSG00000001461.12	NIPAL3	-0.0300693556100305	poly	7	0.01	371.940766334534
ENSG00000054523.12	KIF1B	0.134441418580598	rbf	2	1.5	409.212450504303
ENSG00000116237.11	ICMT	0.00246507588086871	sigmoid	2	0.5	480.48460650444
ENSG00000160049.7	DFFA	-0.0183551847147775	sigmoid	2	0.01	277.225936412811
ENSG00000126698.6	DNAJC8	0.300801312753929	poly	3	2	270.281734704971
ENSG00000125944.14	HNRNPR	-0.0223951747018713	rbf	2	0.1	365.284081935883
ENSG00000175756.9	AURKAIP1	-0.00384472618284277	poly	7	0.01	102.587157726288
ENSG00000121766.10	ZCCHC17	-0.0180620980972768	rbf	2	0.1	545.955917835236
ENSG00000183726.6	TMEM50A	-0.00279769800160183	rbf	2	0.1	526.877952575684
ENSG00000158195.6	WASF2	-0.00625531630525038	sigmoid	2	0.005	330.601555585861
ENSG00000159423.12	ALDH4A1	-0.013020852053102	sigmoid	2	1e-04	480.656640291214
ENSG00000117616.13	C1orf63	-0.0327796267644	rbf	2	0.1	619.124239206314
ENSG00000162482.4	AKR7A3	0.114703424735746	poly	4	2	525.40842461586
ENSG00000187980.6	PLA2G2C	-0.0467564355428935	poly	7	0.1	484.137758493423
ENSG00000157873.13	TNFRSF14	-0.0127339960599443	rbf	2	0.1	176.183048009872
ENSG00000117713.13	ARID1A	-0.0211759063361683	poly	7	0.1	360.282871723175
ENSG00000117614.5	SYF2	-0.00274638644354592	poly	6	0.1	394.890711545944
ENSG00000204160.6	ZDHHC18	-0.0102937294764692	poly	7	0.001	263.915627241135
ENSG00000162430.12	SEPN1	-0.0256638883797777	poly	6	0.01	327.590363740921
ENSG00000083444.12	PLOD1	0.0362992923104554	poly	3	0.5	344.506217241287
ENSG00000187583.5	PLEKHN1	-0.0746720005980236	poly	6	0.005	75.0021584033966
ENSG00000215695.1	RSC1A1	-0.0267559032994621	poly	7	0.1	451.225347995758
ENSG00000221978.7	CCNL2	-0.0420894502608743	sigmoid	2	1e-04	109.389831066132
ENSG00000159023.14	EPB41	-0.0135217586262194	sigmoid	2	1	387.900591850281
ENSG00000142751.10	GPN2	-0.009541655073803	poly	7	0.5	325.61200928688
ENSG00000117298.10	ECE1	-0.0101185084303397	sigmoid	2	2	452.926567554474
ENSG00000130770.13	ATPIF1	0.219040240073125	linear	2	5e-04	276.905560255051
ENSG00000162413.12	KLHL21	-0.0381486775523831	sigmoid	2	1e-04	451.220454454422
ENSG00000077549.13	CAPZB	-0.0236026048896094	sigmoid	2	0.05	569.874469041824
ENSG00000142655.8	PEX14	0.00411702925659221	rbf	2	0.1	311.215473413467
ENSG00000130695.9	CEP85	-0.0228487022409899	sigmoid	2	0.1	309.320499420166
ENSG00000158161.11	EYA3	-0.00483234690081269	sigmoid	2	1e-04	285.512709140778
ENSG00000179163.11	FUCA1	0.338883929150093	rbf	2	2	440.036771297455
ENSG00000184677.12	ZBTB40	-0.0193400736759158	sigmoid	2	0.5	518.086736679077
ENSG00000197530.8	MIB2	-0.00930568934980911	poly	7	5e-04	126.635845899582
ENSG00000117308.10	GALE	0.0145813973530641	poly	4	0.5	476.558934926987
ENSG00000204510.1	PRAMEF7	-0.0624843117651649	poly	7	1e-04	186.726975917816
ENSG00000162585.12	C1orf86	-0.0382657847324832	sigmoid	2	0.01	210.877928256989
ENSG00000049246.10	PER3	-0.00875046023033033	poly	7	1e-04	529.879200935364
ENSG00000173614.9	NMNAT1	-0.0288035887351874	poly	7	2	312.095257043839
ENSG00000067606.11	PRKCZ	-0.0304048863114041	sigmoid	2	0.05	161.023793697357
ENSG00000157191.15	NECAP2	0.162756637815881	rbf	2	2	393.314312696457
ENSG00000116809.7	ZBTB17	0.000906528573335308	poly	7	0.1	499.55467414856
ENSG00000053372.4	MRTO4	0.00122749992891831	poly	5	0.5	495.915873289108
ENSG00000090686.11	USP48	-0.0193450499717216	rbf	2	0.1	550.074354887009
