Gene_ID	Gene_Name	CV_R2	kernel	degree	C	time.s.
ENSG00000162482.4	AKR7A3	-0.00685968113582478	poly	3	0.01	2333.91976451874
ENSG00000116288.8	PARK7	0.00680935097844564	sigmoid	2	0.5	1764.81797981262
ENSG00000187980.6	PLA2G2C	-0.019048843686797	sigmoid	2	1e-04	2306.36434698105
ENSG00000090273.9	NUDC	0.0161894556733822	rbf	2	0.1	1517.3766412735
ENSG00000116273.5	PHF13	-0.00297560633675147	sigmoid	2	0.1	1826.30182528496
ENSG00000009709.7	PAX7	-0.0102615171416572	poly	4	0.005	2157.65029501915
ENSG00000132881.7	RSG1	-0.0195167410964314	poly	2	0.01	2264.34576773643
ENSG00000204138.8	PHACTR4	0.0698345125624243	linear	2	1e-04	2113.12948441505
ENSG00000117640.13	MTFR1L	0.0092816030881385	poly	3	0.01	2029.00813555717
ENSG00000158825.5	CDA	0.53355253100789	linear	2	5e-04	2149.08633351326
ENSG00000142684.7	ZNF593	0.34690086033823	linear	2	5e-04	1702.21130871773
ENSG00000116237.11	ICMT	0.0158662912953954	rbf	2	1	2107.29534339905
ENSG00000142676.8	RPL11	-0.00681884929592056	sigmoid	2	1e-04	1751.94461798668
ENSG00000162585.12	C1orf86	0.196154773208673	poly	2	0.1	1418.98394799232
ENSG00000204160.6	ZDHHC18	0.077415776223812	rbf	2	0.5	1666.94612002373
ENSG00000158161.11	EYA3	-0.011357719825134	sigmoid	2	0.1	1632.54611182213
ENSG00000142794.14	NBPF3	0.0860544961457742	rbf	2	0.5	2359.2604598999
ENSG00000189409.8	MMP23B	-0.0148118520754145	sigmoid	2	1e-04	817.197234630585
ENSG00000142655.8	PEX14	0.0970460399082722	poly	3	0.05	1858.21486878395
ENSG00000078808.12	SDF4	-0.0144296817497173	sigmoid	2	1e-04	365.438520908356
ENSG00000120656.7	TAF12	-0.00801403464833177	sigmoid	2	1e-04	1915.84461903572
ENSG00000011007.7	TCEB3	0.344274804450711	linear	2	5e-04	1785.67780327797
ENSG00000158292.6	GPR153	-0.0331203288080987	sigmoid	2	1e-04	2043.00838327408
