chr	gene_id	gene_name	start	end	gene_type
1	ENSG00000227232	WASH7P	14363	29806	pseudogene
1	ENSG00000243485	MIR1302-11	29554	31109	lincRNA
1	ENSG00000268020	OR4G4P	52473	54936	pseudogene
1	ENSG00000186092	OR4F5	69091	70008	protein_coding
1	ENSG00000239945	RP11-34P13.8	89551	91105	lincRNA
1	ENSG00000228463	AP006222.2	227615	267253	lincRNA
1	ENSG00000224813	RP4-669L17.4	334126	334305	pseudogene
1	ENSG00000256186	AL732372.1	450820	450910	pseudogene
1	ENSG00000236601	RP4-669L17.2	453633	460480	lincRNA
1	ENSG00000236679	RP4-669L17.1	470971	471355	pseudogene
1	ENSG00000231709	RP5-857K21.1	521369	523833	lincRNA
1	ENSG00000230021	RP5-857K21.4	536816	741274	lincRNA
1	ENSG00000225972	MTND1P23	564442	564813	pseudogene
1	ENSG00000229344	RP5-857K21.7	568137	568818	pseudogene
1	ENSG00000198744	RP5-857K21.11	569756	570302	pseudogene
1	ENSG00000185097	OR4F16	621059	622053	protein_coding
1	ENSG00000229376	CICP3	657472	660283	pseudogene
1	ENSG00000240618	RP11-206L10.5	694412	700305	lincRNA
1	ENSG00000237491	RP11-206L10.9	714162	745440	lincRNA
1	ENSG00000234711	TUBB8P11	808672	809729	pseudogene
1	ENSG00000241180	RP11-54O7.2	849551	850351	lincRNA
1	ENSG00000188976	NOC2L	879584	894689	protein_coding
1	ENSG00000187642	C1orf170	910579	917497	protein_coding
1	ENSG00000188157	AGRN	955503	991496	protein_coding
1	ENSG00000237330	RNF223	1006346	1009687	protein_coding
1	ENSG00000223823	RP11-465B22.5	1072397	1079436	lincRNA
1	ENSG00000186891	TNFRSF18	1138888	1142071	protein_coding
1	ENSG00000176022	B3GALT6	1167629	1170421	protein_coding
1	ENSG00000260179	RP5-902P8.12	1185157	1186714	lincRNA
1	ENSG00000160087	UBE2J2	1189289	1209265	protein_coding
1	ENSG00000131584	ACAP3	1227756	1244989	protein_coding
1	ENSG00000107404	DVL1	1270656	1284730	protein_coding
1	ENSG00000242485	MRPL20	1337288	1342693	protein_coding
1	ENSG00000272455	RP4-758J18.13	1344476	1345998	lincRNA
1	ENSG00000235098	ANKRD65	1353800	1357149	protein_coding
1	ENSG00000160072	ATAD3B	1407143	1433228	protein_coding
1	ENSG00000160075	SSU72	1477053	1510249	protein_coding
1	ENSG00000215791	AL645728.2	1497726	1499904	pseudogene
1	ENSG00000197530	MIB2	1550795	1565990	protein_coding
1	ENSG00000215914	MMP23A	1631369	1633249	pseudogene
1	ENSG00000227775	RP1-283E3.4	1655951	1668690	pseudogene
1	ENSG00000008130	NADK	1682671	1711896	protein_coding
1	ENSG00000169885	CALML6	1846266	1848735	protein_coding
1	ENSG00000067606	PRKCZ	1981909	2116834	protein_coding
1	ENSG00000162585	C1orf86	2115903	2144159	protein_coding
1	ENSG00000116151	MORN1	2252692	2323146	protein_coding
1	ENSG00000238240	RP4-740C4.5	2283083	2283296	pseudogene
1	ENSG00000157916	RER1	2323267	2336883	protein_coding
1	ENSG00000197921	HES5	2460184	2461684	protein_coding
1	ENSG00000157873	TNFRSF14	2487078	2496821	protein_coding
1	ENSG00000157870	FAM213B	2517930	2522908	protein_coding
1	ENSG00000215912	TTC34	2567415	2718286	protein_coding
1	ENSG00000231630	RP11-740P5.3	2730997	2731563	lincRNA
1	ENSG00000169717	ACTRT2	2938046	2939465	protein_coding
1	ENSG00000142611	PRDM16	2985732	3355185	protein_coding
1	ENSG00000272235	RP11-22L13.1	3223200	3226660	lincRNA
1	ENSG00000130762	ARHGEF16	3370990	3397677	protein_coding
1	ENSG00000116213	WRAP73	3547331	3569325	protein_coding
1	ENSG00000235169	SMIM1	3689352	3692546	protein_coding
1	ENSG00000236423	RP13-15E13.1	3816936	3833789	lincRNA
1	ENSG00000232596	RP1-37J18.2	4631608	4643481	lincRNA
1	ENSG00000196581	AJAP1	4714792	4852594	protein_coding
1	ENSG00000260972	RP1-58B11.1	5553038	5554734	lincRNA
1	ENSG00000069424	KCNAB2	6051526	6161253	protein_coding
1	ENSG00000116251	RPL22	6241329	6269449	protein_coding
1	ENSG00000116237	ICMT	6281253	6296032	protein_coding
1	ENSG00000158292	GPR153	6307406	6321035	protein_coding
