Gene_ID	Gene_Name	CV_R2	kernel	degree	C	time.s.
ENSG00000169442	CD52	0.505872125989852	poly	3	2	282.503689050674
ENSG00000184292	TACSTD2	0.673494571761186	linear	2	0.001	462.353979349136
ENSG00000131781	FMO5	0.519868864476832	poly	2	1	259.387906551361
ENSG00000116874	WARS2	0.535582671652993	linear	2	0.001	458.69135594368
ENSG00000162627	SNX7	0.686702895076672	poly	3	2	553.00074672699
ENSG00000198715	C1orf85	0.527034197619858	linear	2	0.001	329.694504022598
ENSG00000116791	CRYZ	0.514653914960797	poly	2	2	618.532781124115
ENSG00000240344	PPIL3	0.535733285419218	poly	2	1.5	459.874082565308
ENSG00000144401	METTL21A	0.508031178539741	linear	2	5e-04	515.161879777908
ENSG00000138439	FAM117B	0.551609377464376	linear	2	0.001	379.334492444992
ENSG00000168958	MFF	0.524131376950867	linear	2	0.01	551.593047618866
ENSG00000254999	BRK1	0.590479608192266	poly	2	2	646.812700033188
ENSG00000188846	RPL14	0.610260641974342	linear	2	5e-04	533.593711614609
ENSG00000178252	WDR6	0.525142995610078	poly	2	1	278.060689926147
ENSG00000163428	LRRC58	0.540929491196228	poly	2	2	452.844893932343
ENSG00000114544	SLC41A3	0.768043742124395	linear	2	5e-04	686.975407123566
ENSG00000170448	NFXL1	0.589552164627031	rbf	2	2	484.415029287338
ENSG00000170153	RNF150	0.726835531239316	linear	2	0.001	529.91403222084
ENSG00000155542	SETD9	0.551886025842281	poly	3	2	570.327951192856
ENSG00000197860	SGTB	0.636372602718711	linear	2	5e-04	589.647830486298
ENSG00000164346	NSA2	0.54259252651574	rbf	2	2	433.175065994263
ENSG00000164308	ERAP2	0.675605367755093	rbf	2	2	689.688639879227
ENSG00000204525	HLA-C	0.66535915675762	poly	3	1	901.957065105438
ENSG00000223865	HLA-DPB1	0.661139779870542	rbf	2	2	748.277209997177
ENSG00000196126	HLA-DRB1	0.75525260548861	poly	2	0.5	726.382012844086
ENSG00000179344	HLA-DQB1	0.594762690447499	linear	2	5e-04	687.136461257935
ENSG00000198502	HLA-DRB5	0.760972200270853	poly	2	1	644.111207723618
ENSG00000146707	POMZP3	0.523406481574389	rbf	2	2	518.991531848907
ENSG00000188372	ZP3	0.501329498411833	rbf	2	2	487.407620668411
ENSG00000147421	HMBOX1	0.586766758412099	rbf	2	2	523.42556142807
ENSG00000147592	LACTB2	0.560629478350908	linear	2	0.001	529.623661518097
ENSG00000164978	NUDT2	0.680717129183867	linear	2	0.001	410.207698583603
ENSG00000134463	ECHDC3	0.548819666169593	linear	2	0.001	578.179804325104
ENSG00000122873	CISD1	0.563361091928054	poly	2	1	646.739720582962
ENSG00000095539	SEMA4G	0.565961183464454	linear	2	0.001	396.570236444473
ENSG00000149089	APIP	0.540402704909411	linear	2	5e-04	769.092934608459
ENSG00000172322	CLEC12A	0.608701064460204	linear	2	0.001	521.234342575073
ENSG00000110906	KCTD10	0.571616671429504	linear	2	0.001	362.857238054276
ENSG00000258289	CHURC1	0.74962210296142	linear	2	5e-04	541.627193212509
ENSG00000166920	C15orf48	0.580200363753977	rbf	2	2	572.815356254578
ENSG00000087253	LPCAT2	0.577214101122729	linear	2	0.001	589.560626268387
ENSG00000153406	NMRAL1	0.548637587138598	linear	2	5e-04	362.260547637939
ENSG00000214941	ZSWIM7	0.621041821246172	linear	2	5e-04	523.76077580452
ENSG00000141698	NT5C3B	0.609718908127251	poly	3	2	366.966080665588
ENSG00000108384	RAD51C	0.754219013003467	rbf	2	1.5	217.163177967072
ENSG00000136463	TACO1	0.529606010277913	poly	3	2	567.516740083694
ENSG00000242550	SERPINB10	0.5417483139628	rbf	2	2	510.627082586288
ENSG00000101310	SEC23B	0.514861997044174	poly	2	2	1138.3278939724
ENSG00000182362	YBEY	0.617314322849412	rbf	2	2	526.1531894207
ENSG00000099940	SNAP29	0.577996733384513	poly	2	2	161.980939626694
ENSG00000183172	SMDT1	0.521937887941181	linear	2	5e-04	356.403175354004
ENSG00000099968	BCL2L13	0.505917627820448	linear	2	5e-04	759.247624397278
