Gene_ID	Gene_Name	CV_R2	n_estimators	time.s.
ENSG00000169442	CD52	0.755176827784845	350	3667.85537719727
ENSG00000116791	CRYZ	0.809747250231715	500	5712.58149123192
ENSG00000184292	TACSTD2	0.879678670481563	350	9091.79838633537
ENSG00000134215	VAV3	0.803904081326772	200	7389.80190134048
ENSG00000116874	WARS2	0.811435822353825	500	5383.19644927979
ENSG00000198890	PRMT6	0.735301530570846	250	6377.16570281982
ENSG00000198715	C1orf85	0.830570202589588	450	3709.48190665245
ENSG00000144401	METTL21A	0.771292990065458	350	6678.9830493927
ENSG00000138439	FAM117B	0.753847218648548	400	4076.12362742424
ENSG00000168958	MFF	0.840734408703023	450	7114.48209929466
ENSG00000188846	RPL14	0.805116314091974	150	5380.63252878189
ENSG00000114544	SLC41A3	0.748090563969863	450	7943.26932525635
ENSG00000180767	CHST13	0.801146903105159	100	7617.55529236794
ENSG00000114744	COMMD2	0.713660646546422	350	7354.24937081337
ENSG00000163584	RPL22L1	0.819574698321477	500	5799.7299144268
ENSG00000170153	RNF150	0.7844214141066	100	7583.87098360062
ENSG00000155542	SETD9	0.734356219970132	50	6886.8996257782
ENSG00000154153	FAM134B	0.705363602174104	500	6541.83125090599
ENSG00000164253	WDR41	0.712419720248232	500	7766.52905607224
ENSG00000186468	RPS23	0.801562285138173	300	6505.31279277802
ENSG00000145730	PAM	0.711376731775409	500	6496.01410913467
ENSG00000164308	ERAP2	0.821907461600246	400	6778.44978809357
ENSG00000198502	HLA-DRB5	0.863008133482474	150	18719.3545005322
ENSG00000196126	HLA-DRB1	0.864732952373372	150	15458.6242043972
ENSG00000204525	HLA-C	0.766102390369098	200	16771.3943426609
ENSG00000179344	HLA-DQB1	0.812543429953372	500	16174.1970772743
ENSG00000188056	TREML4	0.711405377694825	100	7261.14383149147
ENSG00000124587	PEX6	0.722694859960765	500	4783.75498867035
ENSG00000004809	SLC22A16	0.759730766699797	100	5793.59516382217
ENSG00000188372	ZP3	0.732256075248172	450	6388.97853326797
ENSG00000002933	TMEM176A	0.825453833301057	300	6740.28659462929
ENSG00000106565	TMEM176B	0.810082121089452	450	5650.90710878372
ENSG00000164978	NUDT2	0.815222386459448	500	5908.31821203232
ENSG00000165983	PTER	0.853438671006261	250	7387.67635512352
ENSG00000107796	ACTA2	0.766703139257671	500	5876.56422019005
ENSG00000173915	USMG5	0.88517133456917	400	5199.73481225967
ENSG00000120008	WDR11	0.764854641191349	450	6410.73851799965
ENSG00000134809	TIMM10	0.75395554006574	50	5611.15556287766
ENSG00000110455	ACCS	0.700867211550875	200	6259.96695971489
ENSG00000110852	CLEC2B	0.769660921163423	150	7884.6216275692
ENSG00000184293	CLECL1	0.810915669178311	500	7406.29897999763
ENSG00000172322	CLEC12A	0.771624462810481	300	7039.17990851402
ENSG00000133704	IPO8	0.858542560132441	500	9584.45523500443
ENSG00000166896	XRCC6BP1	0.865847819455386	450	4877.67531347275
ENSG00000197728	RPS26	0.788094810750233	300	4521.4004752636
ENSG00000166888	STAT6	0.711460936944716	500	3729.77732253075
ENSG00000110906	KCTD10	0.794107380284325	500	5046.84623384476
ENSG00000100448	CTSG	0.827987518099414	100	10147.387996912
ENSG00000258289	CHURC1	0.873392933223321	450	6364.39754295349
ENSG00000103489	XYLT1	0.802669255644172	200	5296.69808578491
ENSG00000087253	LPCAT2	0.749476352605488	450	7116.87335824966
ENSG00000140876	NUDT7	0.72577050183839	250	11339.7690014839
ENSG00000257017	HP	0.724204587828156	300	4476.61010146141
ENSG00000214941	ZSWIM7	0.824469400143493	500	5808.96140909195
ENSG00000173801	JUP	0.716876006667362	100	6192.67200374603
ENSG00000141698	NT5C3B	0.737705750964831	400	4944.00917172432
ENSG00000108384	RAD51C	0.786760181707959	350	4933.02812480927
ENSG00000108946	PRKAR1A	0.845474196874083	500	6964.1231007576
ENSG00000168234	TTC39C	0.722773216315786	500	6849.02713012695
ENSG00000131400	NAPSA	0.74504861229135	100	4569.61223292351
ENSG00000088930	XRN2	0.799946711743445	200	4335.61258792877
ENSG00000182362	YBEY	0.736322171959659	450	5595.05776238441
