Gene_ID	Gene_Name	CV_R2	n_neigbors	weights	p	time.s.
ENSG00000169442	CD52	0.379952700211683	3	uniform	3	411.689763307571
ENSG00000184292	TACSTD2	0.347667818965499	13	distance	1	576.847394704819
ENSG00000131781	FMO5	0.484848183906717	15	distance	1	348.928792715073
ENSG00000116874	WARS2	0.310740503015246	7	distance	1	649.591063737869
ENSG00000162627	SNX7	0.473231827686247	7	distance	1	668.126679897308
ENSG00000135862	LAMC1	0.307591085810906	13	distance	2	477.856417655945
ENSG00000240344	PPIL3	0.399343792304844	19	distance	2	496.916387081146
ENSG00000144401	METTL21A	0.366419470228538	11	uniform	3	697.872880458832
ENSG00000138439	FAM117B	0.300374128080117	7	distance	1	496.655476808548
ENSG00000254999	BRK1	0.516125931872441	15	distance	1	651.41592669487
ENSG00000188846	RPL14	0.405610045223769	9	distance	1	701.425361156464
ENSG00000178252	WDR6	0.467779361754847	23	distance	1	343.508415937424
ENSG00000163428	LRRC58	0.388805884083266	13	distance	3	455.595065116882
ENSG00000114544	SLC41A3	0.460496597992347	7	distance	1	875.832544565201
ENSG00000129055	ANAPC13	0.378348803136462	21	distance	1	546.459528923035
ENSG00000170448	NFXL1	0.493629744765082	11	distance	2	575.263477802277
ENSG00000109323	MANBA	0.327951551676246	11	distance	2	788.810472011566
ENSG00000170153	RNF150	0.42581898215849	11	distance	1	790.932687282562
ENSG00000155542	SETD9	0.46530916312903	9	distance	1	577.174269676208
ENSG00000197860	SGTB	0.442970598056821	7	distance	1	656.366643190384
ENSG00000164346	NSA2	0.34109161372357	13	distance	2	532.869117259979
ENSG00000164308	ERAP2	0.554221747816091	7	uniform	1	739.498752593994
ENSG00000213523	SRA1	0.432991565004924	15	uniform	2	467.347174406052
ENSG00000204632	HLA-G	0.316818888616817	9	distance	2	1215.71475291252
ENSG00000066379	ZNRD1	0.37924877729283	21	distance	1	1331.26997113228
ENSG00000204525	HLA-C	0.520677548789705	15	distance	1	888.174015760422
ENSG00000065060	UHRF1BP1	0.334197623330849	25	distance	1	690.945559024811
ENSG00000051620	HEBP2	0.338305450604256	11	distance	3	626.720463275909
ENSG00000223865	HLA-DPB1	0.555130562533783	17	uniform	1	1023.92983102798
ENSG00000196126	HLA-DRB1	0.628900013956164	7	distance	1	938.028011083603
ENSG00000179344	HLA-DQB1	0.483735034989253	7	distance	1	953.239296197891
ENSG00000198502	HLA-DRB5	0.609382134516187	7	distance	1	927.912580728531
ENSG00000213462	ERV3-1	0.37047590485322	11	distance	1	729.699994325638
ENSG00000241468	ATP5J2	0.342034869447266	15	distance	2	492.963508605957
ENSG00000146707	POMZP3	0.329319228548528	7	uniform	2	576.381840705872
ENSG00000165171	WBSCR27	0.334667425431488	19	distance	1	175.207491874695
ENSG00000188372	ZP3	0.323969464790647	11	distance	2	594.906625747681
ENSG00000146859	TMEM140	0.439991782432006	15	distance	1	650.913037776947
ENSG00000147421	HMBOX1	0.495545010849751	11	distance	2	664.361220598221
ENSG00000147592	LACTB2	0.431356880699338	9	distance	1	617.288688421249
ENSG00000008988	RPS20	0.350345894872976	11	distance	1	765.304005861282
ENSG00000164978	NUDT2	0.42838808595417	5	distance	2	424.766488790512
ENSG00000120539	MASTL	0.317726920089752	27	distance	1	808.212648868561
ENSG00000134463	ECHDC3	0.452187641487923	9	distance	2	769.065165042877
ENSG00000122873	CISD1	0.470803485028382	15	distance	1	695.096603393555
ENSG00000122958	VPS26A	0.335921721645569	17	distance	2	795.815399169922
ENSG00000107593	PKD2L1	0.366042874566201	9	distance	1	643.218133449554
ENSG00000166275	C10orf32	0.394900124582066	13	distance	1	448.622774600983
ENSG00000120008	WDR11	0.309351163689298	19	distance	3	898.975810289383
ENSG00000148834	GSTO1	0.313949359546871	11	distance	1	626.752482652664
ENSG00000149089	APIP	0.42362680759884	7	distance	1	954.05593919754
ENSG00000110906	KCTD10	0.369116256570705	11	distance	1	525.413621902466
ENSG00000122035	RASL11A	0.315741865855795	13	distance	1	1062.86298775673
ENSG00000258289	CHURC1	0.504186573961607	9	distance	1	712.054017543793
ENSG00000100554	ATP6V1D	0.399611758066573	13	distance	3	657.250500679016
ENSG00000166920	C15orf48	0.501479782356701	7	distance	1	828.152161121368
ENSG00000103591	AAGAB	0.31336414413082	11	uniform	3	704.432867288589
ENSG00000180185	FAHD1	0.445644310213936	11	distance	1	338.232564926147
ENSG00000159720	ATP6V0D1	0.377238203427976	17	distance	1	364.561435937881
ENSG00000167261	DPEP2	0.329704758823665	3	uniform	1	446.135100364685
ENSG00000153406	NMRAL1	0.397246114126781	5	distance	1	613.83562874794
ENSG00000214941	ZSWIM7	0.473755042514537	9	distance	2	526.146167516708
ENSG00000141698	NT5C3B	0.311001438246859	7	distance	2	407.236703395844
ENSG00000108384	RAD51C	0.714555823248917	9	distance	1	271.524603843689
ENSG00000136463	TACO1	0.336410899522113	11	distance	1	630.507084608078
ENSG00000242550	SERPINB10	0.41545585251851	11	distance	2	884.210371255875
ENSG00000100994	PYGB	0.364253628874172	11	distance	1	1095.470723629
ENSG00000182362	YBEY	0.467768315567767	13	distance	1	639.960452079773
ENSG00000099940	SNAP29	0.552225631489552	9	distance	1	191.729681015015
ENSG00000183172	SMDT1	0.42730790841625	9	distance	1	414.663210391998
ENSG00000099968	BCL2L13	0.307947321026414	15	distance	2	830.632057666779
