Gene_ID	Gene_Name	CV_R2	n_neigbors	weights	p	time.s.
ENSG00000162482.4	AKR7A3	-0.00640544165483863	25	uniform	2	2631.62285995483
ENSG00000116288.8	PARK7	-0.0215794527727669	31	uniform	1	1923.19702744484
ENSG00000187980.6	PLA2G2C	-0.0390432611412583	23	uniform	1	2312.34505701065
ENSG00000090273.9	NUDC	-0.00127147413048503	31	uniform	1	1289.84506511688
ENSG00000116273.5	PHF13	-0.023910217186067	29	uniform	3	2182.52265000343
ENSG00000009709.7	PAX7	-0.0236247840034295	29	distance	1	2705.74801111221
ENSG00000132881.7	RSG1	-0.0301759785652975	31	uniform	1	1650.61971902847
ENSG00000204138.8	PHACTR4	0.0698616086822592	29	uniform	1	1639.80976581573
ENSG00000117640.13	MTFR1L	0.00173596054150291	25	uniform	3	1370.41645002365
ENSG00000158825.5	CDA	0.292793067282186	19	distance	2	2271.23678326607
ENSG00000142684.7	ZNF593	0.261524442234779	25	distance	2	1134.43881869316
ENSG00000116237.11	ICMT	0.00758466723883622	13	uniform	1	2272.14729499817
ENSG00000142676.8	RPL11	-0.0377041201375472	31	uniform	2	1639.87442374229
ENSG00000162585.12	C1orf86	0.177258881613483	31	distance	1	929.741940259933
ENSG00000204160.6	ZDHHC18	0.0577691117543566	13	uniform	1	1134.61030268669
ENSG00000158161.11	EYA3	-0.0102123180824284	25	distance	3	1493.08357572556
ENSG00000142794.14	NBPF3	0.0230117487444301	31	distance	3	2611.10514855385
ENSG00000189409.8	MMP23B	-0.0349197122324001	21	uniform	2	726.878652572632
ENSG00000142655.8	PEX14	0.0855936293057611	31	uniform	3	1481.06696271896
ENSG00000078808.12	SDF4	-0.052231865903233	31	uniform	3	322.965884685516
ENSG00000120656.7	TAF12	-0.0327710180506808	31	distance	3	1553.94397997856
ENSG00000011007.7	TCEB3	0.272060335374408	11	distance	1	1632.60147428513
ENSG00000158292.6	GPR153	-0.0642779857693355	23	uniform	1	2174.40459442139
ENSG00000117308.10	GALE	-0.0180787628072767	31	uniform	1	1688.98945331573
ENSG00000171824.9	EXOSC10	-0.0405607908760479	31	uniform	1	1897.51542258263
ENSG00000142634.8	EFHD2	-0.0177021913956475	31	uniform	3	2342.04589724541
ENSG00000116688.12	MFN2	0.180996857459693	25	distance	2	1758.19844174385
ENSG00000142675.13	CNKSR1	-0.0220667810971712	31	distance	1	1166.82357001305
ENSG00000090020.6	SLC9A1	-0.0286137408705605	27	uniform	3	1183.12426829338
ENSG00000188157.9	AGRN	-0.0363195003960907	29	uniform	3	220.284662246704
ENSG00000175206.6	NPPA	-0.0271726414905927	31	uniform	2	1718.23902130127
ENSG00000001461.12	NIPAL3	-0.00765172063725796	31	distance	1	1583.82549262047
ENSG00000177000.6	MTHFR	0.0863458630149773	29	uniform	1	1739.00670409203
