Gene_ID	Gene_Name	CV_R2	kernel	degree	C	time.s.
ENSG00000158161.11	EYA3	-0.0062052761372744	rbf	2	0.1	595.215619802475
ENSG00000177674.11	AGTRAP	-0.00356469734097655	sigmoid	2	0.05	609.685655117035
ENSG00000183726.6	TMEM50A	0.00455921286930512	rbf	2	0.5	773.255620718002
ENSG00000116809.7	ZBTB17	-0.0122583197929168	poly	7	0.005	633.534312009811
ENSG00000116688.12	MFN2	0.11789356000084	rbf	2	1	673.80491232872
ENSG00000162438.7	CTRC	-0.029938269024302	poly	7	0.001	889.427634716034
ENSG00000117643.10	MAN1C1	-0.0350921003967581	poly	7	0.001	617.484137058258
ENSG00000169972.7	PUSL1	-0.00185725651366619	poly	7	1e-04	256.967978477478
ENSG00000162585.12	C1orf86	0.127192523398664	sigmoid	2	1	457.470044374466
ENSG00000198912.6	C1orf174	-0.000195171359601631	rbf	2	0.1	836.805646181107
ENSG00000159023.14	EPB41	-0.014996136468444	sigmoid	2	1e-04	720.554687261581
ENSG00000186501.9	TMEM222	-0.0238760724924822	rbf	2	0.05	542.229227781296
ENSG00000116251.5	RPL22	-0.0233373475624115	poly	6	0.01	767.302990674973
ENSG00000204219.5	TCEA3	0.0284390407063538	rbf	2	1	543.909850120544
ENSG00000126709.10	IFI6	-0.0195377127885902	poly	7	0.001	552.592270374298
ENSG00000204138.8	PHACTR4	0.0510288882305827	poly	2	0.1	688.719389200211
ENSG00000009709.7	PAX7	-0.020820139902319	poly	6	1e-04	886.620527982712
ENSG00000117215.10	PLA2G2D	-0.0251822307053989	sigmoid	2	1e-04	862.402444124222
ENSG00000028137.12	TNFRSF1B	-0.0169771322364045	sigmoid	2	1e-04	626.683802366257
ENSG00000159189.7	C1QC	-0.0194272708877127	sigmoid	2	1e-04	731.75226855278
ENSG00000171824.9	EXOSC10	-0.0113997534046261	poly	7	5e-04	687.581296920776
ENSG00000011007.7	TCEB3	0.205996253484133	rbf	2	0.5	615.707798957825
ENSG00000075151.15	EIF4G3	0.00767208223594986	poly	7	0.01	934.889940500259
ENSG00000142634.8	EFHD2	-0.0199414575857474	poly	7	0.005	877.635011196136
