Gene_ID	Gene_Name	CV_R2	n_estimators	time.s.
ENSG00000184292	TACSTD2	0.8811698694596	350	4773.18047833443
ENSG00000134215	VAV3	0.733583336938287	400	4924.74873399734
ENSG00000116874	WARS2	0.749412726298856	400	4656.83985280991
ENSG00000162627	SNX7	0.754290979837301	500	4068.87093257904
ENSG00000198715	C1orf85	0.64162034947626	450	2889.49865484238
ENSG00000182118	FAM89A	0.606653345154341	300	4245.14643263817
ENSG00000116791	CRYZ	0.695774105164556	250	4843.93045020103
ENSG00000168894	RNF181	0.675376572940177	50	4238.97902226448
ENSG00000136732	GYPC	0.636219790518133	100	4237.9944627285
ENSG00000144401	METTL21A	0.759731482427846	500	4809.80434012413
ENSG00000168958	MFF	0.807128163847854	50	4337.21914339066
ENSG00000254999	BRK1	0.6838021475742	400	4484.04155993462
ENSG00000188846	RPL14	0.698453643629963	150	4370.01854515076
ENSG00000163428	LRRC58	0.621360650195707	50	3170.37695741653
ENSG00000114544	SLC41A3	0.802620132722858	50	5985.03749632835
ENSG00000163584	RPL22L1	0.781978771145057	150	5026.5417599678
ENSG00000170448	NFXL1	0.64519701814809	50	3581.11252212524
ENSG00000170153	RNF150	0.758239793679155	150	6303.06615018845
ENSG00000155542	SETD9	0.782911238483572	450	4133.57409143448
ENSG00000154153	FAM134B	0.638477954292919	300	4781.76149606705
ENSG00000197860	SGTB	0.691898645080819	250	4186.65605831146
ENSG00000164346	NSA2	0.629364819246867	50	3497.11372709274
ENSG00000186468	RPS23	0.616395301952035	150	4401.14632487297
ENSG00000145730	PAM	0.714711888646663	200	4833.98282027245
ENSG00000164308	ERAP2	0.760775974914248	450	5020.12217664719
ENSG00000113615	SEC24A	0.631539898780602	200	4307.26546478271
ENSG00000204525	HLA-C	0.70916240423744	150	5978.15561079979
ENSG00000223865	HLA-DPB1	0.691747786603809	500	6305.26559710503
ENSG00000196126	HLA-DRB1	0.873130609037393	500	5834.71731591225
ENSG00000179344	HLA-DQB1	0.821640138984166	350	5847.71739244461
ENSG00000198502	HLA-DRB5	0.88155845582081	100	6402.05092716217
ENSG00000105928	DFNA5	0.63658293968112	150	6385.99917292595
ENSG00000185811	IKZF1	0.701129903619695	500	5506.23099017143
ENSG00000146707	POMZP3	0.631193084331518	100	4594.48868703842
ENSG00000188372	ZP3	0.670450902461847	500	4004.04633688927
ENSG00000106565	TMEM176B	0.60867471264177	150	4494.85152673721
ENSG00000147421	HMBOX1	0.704856938836815	350	4292.78900074959
ENSG00000147592	LACTB2	0.601538835851809	450	4131.42440533638
ENSG00000164754	RAD21	0.604032916051441	250	3990.61389636993
ENSG00000155096	AZIN1	0.641897330671881	50	4734.62488603592
ENSG00000164978	NUDT2	0.797047427593686	450	3251.68280386925
ENSG00000175768	TOMM5	0.632185169515246	350	4555.31778860092
ENSG00000106789	CORO2A	0.614254719615058	100	4156.55487298965
ENSG00000134463	ECHDC3	0.648406448783503	250	4989.24359583855
ENSG00000122873	CISD1	0.606852522075119	150	4550.02501392365
ENSG00000107796	ACTA2	0.622924374871731	150	3903.48795771599
ENSG00000095539	SEMA4G	0.679935555326532	450	3279.83753085136
ENSG00000107593	PKD2L1	0.74892469461139	200	4635.07024335861
ENSG00000173915	USMG5	0.735971209302026	150	3710.40368437767
ENSG00000120008	WDR11	0.736346444954696	300	5730.47659301758
ENSG00000148834	GSTO1	0.693776839257103	500	4065.55691814423
ENSG00000184293	CLECL1	0.721020671461919	250	6420.0021777153
ENSG00000172322	CLEC12A	0.722579331602005	50	5129.91309762001
ENSG00000133704	IPO8	0.704075353105941	50	8940.74090099335
ENSG00000127337	YEATS4	0.626132986848622	500	5293.36592483521
ENSG00000110906	KCTD10	0.643014164794312	400	3669.26304388046
ENSG00000178695	KCTD12	0.733480141050316	500	4142.45779919624
ENSG00000100448	CTSG	0.824875077618901	50	4894.5376162529
ENSG00000258289	CHURC1	0.84893834981671	350	4539.96968054771
ENSG00000166920	C15orf48	0.648129120067289	450	4957.3706035614
ENSG00000140450	ARRDC4	0.728171954810305	100	4615.51370692253
ENSG00000197299	BLM	0.708812983516743	150	4078.01006436348
ENSG00000103489	XYLT1	0.652100185845826	200	4093.2650616169
ENSG00000087253	LPCAT2	0.743991035945226	100	5725.36814641953
ENSG00000214941	ZSWIM7	0.717532655773172	50	4829.59409022331
ENSG00000173801	JUP	0.736944203839135	350	4388.72985363007
ENSG00000141698	NT5C3B	0.728114632091581	300	4493.00156068802
ENSG00000108384	RAD51C	0.755646905736267	400	1809.9681930542
ENSG00000108946	PRKAR1A	0.734856541487314	50	4721.24213957787
ENSG00000182534	MXRA7	0.600945094990287	350	3925.1954638958
ENSG00000242550	SERPINB10	0.609304633663916	50	5430.56318211555
ENSG00000189068	VSTM1	0.646069335222851	100	1844.87850689888
ENSG00000131400	NAPSA	0.708324604300129	200	2757.5769803524
ENSG00000182362	YBEY	0.608668536390626	200	3874.64957022667
ENSG00000099940	SNAP29	0.614959745654596	450	1339.56047868729
ENSG00000183172	SMDT1	0.610116435593076	450	3701.49523806572
ENSG00000099968	BCL2L13	0.600358958171689	500	4182.9488670826
