Gene_ID	Gene_Name	CV_R2	n_neigbors	weights	p	time.s.
ENSG00000184292	TACSTD2	0.585860440306348	9	distance	1	900.251182079315
ENSG00000188846	RPL14	0.533229978446904	9	distance	1	836.393930435181
ENSG00000178252	WDR6	0.501637838010611	13	uniform	1	403.887850284576
ENSG00000170448	NFXL1	0.506331475332387	11	distance	1	755.860707521439
ENSG00000155542	SETD9	0.60498151711126	11	distance	1	1045.26300477982
ENSG00000164308	ERAP2	0.649780744527213	7	distance	1	1056.78336071968
ENSG00000196126	HLA-DRB1	0.595848957152703	5	distance	1	2260.86684775352
ENSG00000204525	HLA-C	0.614844477079724	5	distance	1	2288.41651535034
ENSG00000173915	USMG5	0.620623101895131	11	distance	1	726.017405748367
ENSG00000110906	KCTD10	0.586032385497604	9	distance	1	808.779756069183
ENSG00000258289	CHURC1	0.52276045389374	9	distance	1	912.073320865631
ENSG00000180185	FAHD1	0.632451094171927	15	distance	1	667.115685939789
ENSG00000214941	ZSWIM7	0.690012157557604	7	distance	1	1002.8146905899
ENSG00000108384	RAD51C	0.734189960416578	11	distance	1	580.760665178299
ENSG00000088930	XRN2	0.510278216132359	11	distance	1	724.138546705246
ENSG00000100994	PYGB	0.587321391336954	15	distance	2	1118.68756937981
ENSG00000099940	SNAP29	0.568833529187698	9	distance	1	480.494889497757
